,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
hot_side---enthalpy (kJ / kg),580.7561281618559,580.1613226785797,579.5858318638142,579.0290304801857,578.4903134024682,577.9690949790223,577.4648084129524,576.9769051624025,576.5048543594454,576.0481422470115,575.606271633335,575.1787613633982,574.7651458068699,574.3649743620521,573.9778109753533,573.6032336758277,573.240834124325,572.890217176814,572.5510004614489,572.2228139689653,572.2228026693148,571.9152892007235,571.6174617285026,571.3290156302843,571.0496558348163,570.779096524337,570.5170608461084,570.2632806328332,570.0174961316874,569.7794557417102,569.5489157593007,569.3256401315759,569.1094002173527,568.8999745555226,568.6971486405972,568.5007147052052,568.3104715093294,568.1262241360807,567.9477837938077,567.7749676243506
hot_side---temperature (C),192.55788356014165,191.9991195871997,191.45844342760228,190.93527324670964,190.42904568310666,189.93921527822573,189.4652539226406,189.00665031819477,188.56290945607446,188.1335521100961,187.7181143449464,187.31614703896855,186.92721542112292,186.55089862174856,186.18678923676185,185.8344929049331,185.4936278978908,185.16382472250456,184.84472573531144,184.53598476864977,184.5359741382146,184.24666520134855,183.96645403382456,183.6950554433402,183.43219312078566,183.17759936716914,182.93101482870128,182.69218823981458,182.46087617388997,182.23684280147762,182.0198596557945,181.80970540529438,181.60616563310737,181.40903262315112,181.21810515272034,181.03318829137066,180.85409320590998,180.68063697132368,180.51264238745642,180.34993780128497
hot_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_side---differ number (),3.233880780862881,3.2340119724362313,3.2341387303407654,3.234261208015173,3.2343795532981927,3.23449391066859,3.2346044163918686,3.2347112044935518,3.2348144019058886,3.2349141333211477,3.235010521191618,3.2351036741563703,3.2351937072010917,3.235280725978212,3.2353648331535223,3.2354461298994917,3.2355247110419776,3.2356006702868467,3.235674094620023,3.235745072147421,3.235745074760732,3.235811527900088,3.2358758384977344,3.2359380774864004,3.235998311692181,3.236056607567842,3.2361130278328485,3.2361676340866747,3.2362204864354744,3.2362716419987594,3.236321155282731,3.23636907930027,3.2364154689309084,3.236460369347593,3.236503831696555,3.2365459037640525,3.2365866277363917,3.236626050279841,3.236664211714057,3.236701152732025
cold_side---pressure (bar),9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
cold_side---enthalpy (kJ / kg),946.0947384226953,936.7687306510178,927.7455592749392,919.0154211423904,910.5688284414347,902.3965986882316,894.4898450241327,886.8399668128711,879.438640529265,872.2778109307922,865.3496825037915,858.6467111761851,852.1615962888395,845.8872728178815,839.8169038404923,833.9438732368936,828.2617786214406,822.7644244959212,817.4458156183553,812.3001505807656,812.2999733743554,807.478442506515,802.8087792323075,798.2862073506969,793.9061004134206,789.6639770585168,785.555496487429,781.5764540813876,777.7227771528918,773.99052082823,770.3758640570943,766.8751057454568,763.484661007985,760.2010575363779,757.0209320801155,753.9410270362066,750.9581871446283,748.0693562862374,745.2715743800377,742.5619743767695
cold_side---temperature (C),175.3504500088257,175.35045000882576,175.3504500088257,175.3504500088257,175.35045000882576,175.3504500088257,175.3504500088257,175.3504500088257,175.35045000882565,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.35045000882576,175.35045000882565,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.3504500088257,175.35045000882576,175.3504500088257,175.35045000882565,175.3504500088257,175.3504500088257
cold_side---vapor mass fraction (-),0.10023916546893198,0.09564613967000561,0.09120225972339822,0.08690269761143417,0.08274278062033617,0.07871798640933333,0.07482393823201453,0.07105640030547804,0.06741127332305004,0.06388459010631654,0.06047251139240777,0.05717132175254304,0.05397742563795482,0.05088734354940689,0.04789770832662438,0.04500526155404786,0.04220685007942157,0.03949942264181779,0.03688002660579406,0.03434580479846744,0.03434571752493806,0.03197113064827196,0.02967133802362189,0.027443987388892536,0.02528680023469958,0.023197569506147802,0.021174157375321405,0.019214493082367157,0.01731657084311464,0.015478447821231955,0.013698242162974786,0.011974131092642238,0.010304349066903983,0.008687185986219306,0.007120985461618097,0.0056041431351643795,0.004135105052471295,0.0027123660856843155,0.0013344684053961003,0.0
cold_side---differ number (),2.0000000058534764,2.0,2.0000000058534764,2.0,1.9999999882930473,2.0,2.0000000058534764,1.9999999941465236,2.0000000058534764,2.0000000058534764,2.0,2.0000000058534764,2.0,2.0,1.9999999882930473,2.0,2.0000000058534764,2.0,2.0,2.0,2.0,2.0,2.0000000058534764,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0000000058534764,2.0,2.0000000058534764,2.0,2.0,2.0,1.9999999882930473,2.0,4.347245191826367
