,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
hot_side---enthalpy (kJ / kg),340.54189467641044,329.28919938817944,318.6131557863285,308.4844759445734,298.875319225498,289.75922718492507,281.1110602979912,272.90693667204414,265.12417285866576,257.74122683404363,250.7376431826888,244.0940004922325,237.79186094555115,231.81372207990808,226.14297067012856,220.76383868323256,215.66136124509006,210.821336554832,206.230287679532,201.87542615979655,201.87244990851033,197.943924625007,194.20764835600409,190.654221224426,187.27470160687488,184.0605839851048,181.00377784217358,178.09658755743013,175.3316932560185,172.70213257017576,170.20128327111473,167.82284673187635,165.5608321830849,163.40954172505786,161.36355606114296,159.41772091882737,157.56713412627616,155.80713331365226,154.13328420962463,152.5413695050291
hot_side---temperature (C),81.31689313303252,78.635671046614,76.09069276030772,73.675215377048,71.3828009622622,69.20730769181387,67.14288029678619,65.1839400406401,63.32517441869277,61.561526731898425,59.88818565510081,58.30057489426815,56.794343005378096,55.36535343059222,54.0096747928215,52.72357147848737,51.50349452901429,50.34607285421322,49.24810477496845,48.2065498979598,48.205838043232404,47.266193974296925,46.37248673094871,45.52247750391797,44.71403560505712,43.94513337924127,43.21384133763496,42.518323505539854,41.85683297728758,41.22770767106783,40.62936627599589,40.060304384209985,39.5190908006939,39.00436402351431,38.51482888771852,38.049253365683,37.60646551756594,37.185350585136405,36.78484822301755,36.403949860944465
hot_side---vapor mass fraction (-),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_side---differ number (),3.029329197352867,4.059648695319418,4.0605329347530965,4.061323723138496,4.062031049841755,4.06266469790819,4.063233639837062,4.063743532257389,4.064200930767454,4.06461244500194,4.0649814743418995,4.0653131743515125,4.065610278781579,4.065877257916427,4.066115551089365,4.06632853803184,4.066519365136285,4.066689624020416,4.066841193677371,4.066975312032042,4.066975395542848,4.067089063574814,4.067189416545599,4.067278667491568,4.067357241335351,4.067426808293071,4.06748643992106,4.067538808565114,4.067585179168327,4.067623594139154,4.06765738654124,4.0676852152892895,4.067708077600572,4.067726754546746,4.067741629295041,4.067753787485936,4.067762472609775,4.067768527143221,4.067771960911074,4.067773356032776
cold_side---pressure (bar),1.95,1.9513157894736843,1.9526315789473685,1.9539473684210524,1.9552631578947368,1.956578947368421,1.9578947368421054,1.9592105263157895,1.9605263157894737,1.9618421052631578,1.9631578947368422,1.9644736842105264,1.9657894736842103,1.9671052631578947,1.9684210526315788,1.9697368421052632,1.9710526315789474,1.9723684210526315,1.9736842105263157,1.975,1.975,1.9763157894736842,1.9776315789473686,1.9789473684210526,1.9802631578947367,1.981578947368421,1.9828947368421053,1.9842105263157896,1.9855263157894736,1.986842105263158,1.9881578947368421,1.9894736842105265,1.9907894736842104,1.9921052631578946,1.993421052631579,1.9947368421052631,1.9960526315789475,1.9973684210526315,1.9986842105263156,2.0
cold_side---enthalpy (kJ / kg),133.58262941327027,132.97442367620806,132.3973858375879,131.84993289135335,131.33056005709702,130.83783726165598,130.3704057191698,129.92697461852612,129.50631792426304,129.1072712946709,128.72872911898398,128.36964167408064,128.02901239994867,127.70589529227748,127.3993924098535,127.10865149391786,126.83286369627311,126.57126141266588,126.32311621779768,126.08773689821506,126.08757603246818,125.87524009388468,125.67329517279244,125.48123320787647,125.29857090633361,125.12484854674943,124.95962883843988,124.8024958347797,124.65305389812228,124.51092671400173,124.37575635238998,124.24720237386752,124.12494097865033,124.00866419649773,123.89807911560234,123.79290714865401,123.69288333432941,123.59775567255122,123.50728449191675,123.42124184778142
cold_side---temperature (C),31.836310542401577,31.69075308237666,31.55265395211285,31.421634302849156,31.297334008480107,31.179410823936962,31.06753956646463,30.961411323097195,30.86073268484796,30.76522500908368,30.674623710383514,30.588677579907483,30.507148133133796,30.429808985876093,30.35644525750422,30.286853001012958,30.22083865922616,30.15821854614404,30.09881835259455,30.042472675409442,30.04243418662429,29.991601996935515,29.94325606448166,29.89727481601335,29.85354260585632,29.81194942940749,29.77239065007842,29.73476673924415,29.69898302835594,29.66494947312742,29.632580428756853,29.601794435980537,29.572514017463448,29.54466548389655,29.518178749287188,29.492987155595756,29.46902730525329,29.446238902293885,29.424564600771475,29.40394986091229
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),2.111765372527256,2.1117648811932788,2.111764348571848,2.111763880868632,2.1117634515322146,2.1117629372312616,2.111762464616034,2.111762051874252,2.1117616243964337,2.1117612236027896,2.111760820950546,2.1117604390084086,2.111760049631874,2.111759643129675,2.111759299023307,2.1117590093473444,2.111758700023333,2.1117584179145243,2.1117581251851485,2.1117578028509425,2.111757868167429,2.111757593625774,2.1117573359442696,2.111757066712898,2.1117568981113983,2.1117566814518334,2.1117564776697053,2.111756339071307,2.111756062007268,2.1117559053539057,2.111755758657325,2.1117555619113233,2.1117554969931076,2.1117552705095184,2.111755142929958,2.111754985878325,2.1117548750261577,2.111754801213218,2.1117546364616735,2.111754514325154
