,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
hot_side---enthalpy (kJ / kg),660.236180403832,658.9852409502204,657.7062322157852,656.3982716204706,655.0604452519254,653.6918066811138,652.2913757374548,650.8581372429659,649.3910397050058,647.8889939673915,646.3508718197331,644.7755045653239,643.1616815477706,641.5081486371549,639.8136066767041,638.0767098913499,636.2960642599854,634.470225853718,632.5976991429671,630.6769352768843,630.6768771029158,628.6533815807838,626.5751731405995,624.4403615780125,622.2469883100244,619.9930243666041,617.6763684093659,615.2948447916893,612.8462016763388,610.3281092283036,607.7381579021311,605.0738568443398,602.3326324323929,599.5118269719464,596.6086975733356,593.6204152261041,590.5440640863104,587.3766409847404,584.1150551543701,580.7561281618559
hot_side---temperature (C),266.65906591608234,265.5018028562703,264.31826475789364,263.10761449684685,261.8689846504907,260.60147631837503,259.30415790020083,257.97606383023356,256.61619326747314,255.22350874102233,253.79693475016302,252.33535631908228,250.83761750604742,249.30251986737608,247.7288208767152,246.1152323005092,244.46041853093755,242.7629948780509,241.02152582336169,239.23452323772995,239.23446910467896,237.35115432709807,235.41613444475928,233.42758820158997,231.38362638440765,229.28228967842836,227.1215465341591,224.89929105904997,222.61334094901196,220.2614354766239,217.84123355452226,215.35031189393368,212.78616327943985,210.14619498160664,207.4277273287825,204.62799245776455,201.74413325967413,198.7732025316903,195.71216233662506,192.5578835601417
hot_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_side---differ number (),3.46567901144955,3.46605622914241,3.4664414585432644,3.466834922124498,3.46723685406757,3.4676474912560344,3.46806708048112,3.468495871236151,3.468934124723524,3.4693820985428436,3.4698400701090697,3.4703083105322756,3.4707871071350977,3.4712767481408697,3.4717775289785098,3.4722897468783316,3.472813715283211,3.4733497413311376,3.47389814206778,3.4744592444464826,3.474459260659045,3.4750487737522215,3.4756524813942598,3.4762707510699116,3.476903948462531,3.4775524487128022,3.478216618855128,3.4788968259239086,3.4795934374038975,3.4803068108721673,3.4810373021043968,3.481785251564399,3.482550996113196,3.483334846491571,3.4841371030822788,3.4849580378960914,3.4857979017773797,3.486656909092248,3.487535245834817,3.4884330435069835
cold_side---pressure (bar),48.2,48.205263157894734,48.21052631578947,48.215789473684204,48.22105263157895,48.22631578947368,48.23157894736842,48.23684210526316,48.242105263157896,48.24736842105263,48.25263157894737,48.257894736842104,48.26315789473684,48.26842105263158,48.27368421052632,48.27894736842105,48.284210526315796,48.28947368421053,48.294736842105266,48.3,48.3,48.305263157894736,48.310526315789474,48.315789473684205,48.32105263157895,48.32631578947368,48.33157894736842,48.33684210526315,48.3421052631579,48.34736842105263,48.352631578947374,48.357894736842105,48.363157894736844,48.368421052631575,48.37368421052632,48.37894736842105,48.38421052631579,48.38947368421053,48.39473684210527,48.4
cold_side---enthalpy (kJ / kg),1021.8545053297097,1013.2206604441798,1004.3930845063759,995.3656860469792,986.132157344657,976.6859662515342,967.0203477393519,957.1282951626566,947.0025512362662,936.6355987254211,926.0196508475765,915.1466413881309,904.0082145313985,892.5957144122625,880.9001743952663,868.9123060906659,856.6224881199306,844.0207546465444,831.0967836917886,817.8398852594844,817.8394837494064,803.8735428605712,789.5299795006118,774.7957476894729,759.6573295052815,744.1007212226948,728.1114196380437,711.6744086804933,694.7741464200614,677.3945525948025,659.5189967901736,641.130287412665,622.210661605958,602.7417762594794,582.7047002540322,562.0799080743021,540.8472748899239,518.9860731612188,496.47497075817404,473.29203048759626
cold_side---temperature (C),236.6590659160467,234.82864603615246,232.9507851039442,231.02389458496253,229.04632724220602,227.01637498631487,224.93226667030683,222.79216583118728,220.59416838178646,218.33630025416647,216.0165150057178,213.63269138443684,211.18263086755758,208.6640551784464,206.07460379190547,203.41183143904425,200.6732056247114,197.8561041725041,194.95781281455618,191.97552284579172,191.97543238294077,188.82373320470253,185.57658943272503,182.23058846448447,178.78220123170104,175.2277803994483,171.56355888209583,167.78564872879076,163.89004043393203,159.8726027293256,155.729082913703,151.45510777108927,147.0461851205617,142.49770602462644,137.80494765948703,132.9630768151829,127.96715394427599,122.81213761134467,117.49288911062808,112.00417691621391
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),4.314558319108568,4.322440629287774,4.330334433806538,4.338238085287908,4.346150122850437,4.354068274357236,4.36199064687894,4.369914986928212,4.377838832764397,4.385759331006286,4.393673705979131,4.401578799692398,4.409470922643369,4.417346472360558,4.425201389458498,4.433031403190149,4.440831465743873,4.448596759319151,4.456321561612272,4.464000091262614,4.464000355464577,4.4718271987726625,4.479592486131423,4.48728793403223,4.494904913949764,4.5024339798867565,4.509865107709871,4.517187381215611,4.524389262548802,4.5314581663711895,4.538381003806656,4.545143877831901,4.551731899889198,4.55812957531043,4.56432080642535,4.5702891505470316,4.5760173537331035,4.581488659362539,4.586686046612349,4.591594928425869
