,m,m_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,Td_dew,Td_dew_unit,v,v_unit,vol,vol_unit,x,x_unit,s,s_unit,phase,Ar,water,O2,CH4,H2O,Water,N2,CO2
condenser_recycle,10.427076130607327,kg / s,0.04,bar,121.3879295279838,kJ / kg,28.96037902885587,C,0.0,K,0.0,K,0.010469842700318331,m^3 / s,0.0010041014920362447,m^3 / kg,0.0,-,422.39475811352304,J / kgK,tp,,1.0,,,,,,
cooling_water_in,606.6028661581302,kg / s,3.0,bar,63.2670213464866,kJ / kg,14.999999999954127,C,-118.52242046098888,K,118.52242046098888,K,0.6070913531514127,m^3 / s,0.0010008052830287077,m^3 / kg,0.0,-,224.41829280752196,J / kgK,l,,,,,,1.0,,
cooling_water_out,606.6028661581302,kg / s,2.95,bar,100.75282644119298,kJ / kg,23.96037902885587,C,-108.98984237238176,K,108.98984237238176,K,0.6081861253259192,m^3 / s,0.001002610042345854,m^3 / kg,0.0,-,352.5455106695649,J / kgK,l,,,,,,1.0,,
drain_liquid_deaerator,0.056,kg / s,1.5,bar,2693.1054947442503,kJ / kg,111.34937890077259,C,0.0,K,0.0,K,0.06491996491675911,m^3 / s,1.1592850877992698,m^3 / kg,1.0,-,7222.979648160368,J / kgK,tp,,1.0,,,,,,
drain_liquid_tank1,0.225,kg / s,48.2,bar,1143.222953281921,kJ / kg,261.6590427164638,C,0.0,K,0.0,K,0.000288088897471391,m^3 / s,0.0012803950998728489,m^3 / kg,1.222077792593297e-16,-,2900.120391088508,J / kgK,tp,,1.0,,,,,,
drain_liquid_tank2,0.001,kg / s,9.0,bar,742.5619743767695,kJ / kg,175.3504500088257,C,0.0,K,0.0,K,1.1211816899526852e-06,m^3 / s,0.0011211816899526852,m^3 / kg,0.0,-,2094.048601056733,J / kgK,tp,,1.0,,,,,,
evaporate_tank1_vapour_out,11.56407626132392,kg / s,48.2,bar,2795.643495616481,kJ / kg,261.6590427164638,C,0.0,K,0.0,K,0.47413322228901256,m^3 / s,0.04100052711298283,m^3 / kg,1.0,-,5989.859737942839,J / kgK,tp,,1.0,,,,,,
evaporate_tank1_wator_in,11.78907626132392,kg / s,48.2,bar,1021.8545053297097,kJ / kg,236.6590659160467,C,-24.999976800417073,K,24.999976800417073,K,0.014381603735187912,m^3 / s,0.001219909297081165,m^3 / kg,0.0,-,2667.760452288456,J / kgK,l,,1.0,,,,,,
evaporate_tank1_wator_out,117.8907626132392,kg / s,48.2,bar,1143.222953281921,kJ / kg,261.6590427164638,C,0.0,K,0.0,K,0.15094675477026473,m^3 / s,0.0012803950998728489,m^3 / kg,1.222077792593297e-16,-,2900.120391088508,J / kgK,tp,,1.0,,,,,,
evaporate_tank2_vapour_out,0.5179516766061198,kg / s,9.0,bar,2773.0334282618132,kJ / kg,175.3504500088257,C,0.0,K,0.0,K,0.11130099429068874,m^3 / s,0.2148868307946967,m^3 / kg,1.0,-,6621.2936770540655,J / kgK,tp,,1.0,,,,,,
evaporate_tank2_wator_in,0.5189516766061198,kg / s,9.0,bar,733.7931471249159,kJ / kg,173.34993780104418,C,-2.000512207781526,K,2.000512207781526,K,0.0005804648862356195,m^3 / s,0.0011185335984109127,m^3 / kg,0.0,-,2074.4534447672695,J / kgK,l,,1.0,,,,,,
evaporate_tank2_wator_out,5.189516766061199,kg / s,9.0,bar,742.5619743767695,kJ / kg,175.3504500088257,C,0.0,K,0.0,K,0.005818391177810288,m^3 / s,0.0011211816899526852,m^3 / kg,0.0,-,2094.048601056733,J / kgK,tp,,1.0,,,,,,
evaporator1_gas_in,81.36689229050256,kg / s,0.975,bar,912.6673410118617,kJ / kg,493.9762474773952,C,0.0,K,0.0,K,186.55722946445078,m^3 / s,2.2927903992988856,m^3 / kg,0.0,-,7793.777844137665,J / kgK,,0.01266110538356232,,0.15323925670343103,0.0,0.041591751163332386,,0.7413126276127612,0.05119518525868725
evaporator1_gas_out,81.36689229050256,kg / s,0.975,bar,660.236180403832,kJ / kg,266.65906591608245,C,0.0,K,0.0,K,131.27596025693612,m^3 / s,1.6133829935183492,m^3 / kg,0.0,-,7404.131728237976,J / kgK,,0.01266110538356232,,0.15323925670343103,0.0,0.041591751163332386,,0.7413126276127612,0.05119518525868725
evaporator1_steam_in,117.8907626132392,kg / s,48.2,bar,1143.222953281921,kJ / kg,261.6590427164638,C,0.0,K,0.0,K,0.15094675477026473,m^3 / s,0.0012803950998728489,m^3 / kg,1.222077792593297e-16,-,2900.120391088508,J / kgK,tp,,1.0,,,,,,
evaporator1_steam_out,117.8907626132392,kg / s,48.2,bar,1317.4481309011862,kJ / kg,261.6590427164638,C,0.0,K,0.0,K,0.6446668350342324,m^3 / s,0.005468340527655861,m^3 / kg,0.10543634211489397,-,3225.8912059092904,J / kgK,tp,,1.0,,,,,,
evaporator2_gas_in,81.36689229050256,kg / s,0.975,bar,580.7561281618559,kJ / kg,192.55788356014233,C,0.0,K,0.0,K,113.25171514520967,m^3 / s,1.3918648231134276,m^3 / kg,0.0,-,7245.786692534591,J / kgK,,0.01266110538356232,,0.15323925670343103,0.0,0.041591751163332386,,0.7413126276127612,0.05119518525868725
evaporator2_gas_out,81.36689229050256,kg / s,0.975,bar,567.7749676243506,kJ / kg,180.34993780128525,C,0.0,K,0.0,K,110.28195931338713,m^3 / s,1.3553664913199548,m^3 / kg,0.0,-,7217.540940211737,J / kgK,,0.01266110538356232,,0.15323925670343103,0.0,0.041591751163332386,,0.7413126276127612,0.05119518525868725
evaporator2_steam_in,5.189516766061199,kg / s,9.0,bar,742.5619743767695,kJ / kg,175.3504500088257,C,0.0,K,0.0,K,0.005818391177810288,m^3 / s,0.0011211816899526852,m^3 / kg,0.0,-,2094.048601056733,J / kgK,tp,,1.0,,,,,,
evaporator2_steam_out,5.189516766061199,kg / s,9.0,bar,946.0947384226953,kJ / kg,175.3504500088257,C,0.0,K,0.0,K,0.11701774910327607,m^3 / s,0.022548871962136775,m^3 / kg,0.10023916546893198,-,2547.855869348037,J / kgK,tp,,1.0,,,,,,
exchanger1_2_ex_tb3_extract_steam,0.5925523642174151,kg / s,1.5,bar,467.1268876385008,kJ / kg,111.34937890077259,C,0.0,K,0.0,K,0.0006237949135563604,m^3 / s,0.001052725381292179,m^3 / kg,0.0,-,1433.6891336490166,J / kgK,tp,,1.0,,,,,,
exchanger1_2_ex_tb4_extract_steam,0.611896090457066,kg / s,0.5,bar,340.54189467641044,kJ / kg,81.31689313303252,C,0.0,K,0.0,K,0.0006302085868971916,m^3 / s,0.0010299274610930211,m^3 / kg,0.0,-,1091.1995581958884,J / kgK,tp,,1.0,,,,,,
exchanger1_ex_tb3_extract_steam_in,0.5925523642174151,kg / s,1.5,bar,2789.1586680848586,kJ / kg,158.05367848230662,C,46.70429958153403,K,-46.70429958153403,K,0.7770421857904316,m^3 / s,1.3113477098630304,m^3 / kg,1.0,-,7458.86727121419,J / kgK,g,,1.0,,,,,,
exchanger1_ex_tb3_main_steam_out,11.913524585281808,kg / s,1.5,bar,382.7762900154024,kJ / kg,91.34937890077276,C,-19.99999999999983,K,19.99999999999983,K,0.012353043276561912,m^3 / s,0.0010368924148461568,m^3 / kg,0.0,-,1208.4056198443511,J / kgK,l,,1.0,,,,,,
exchanger1_ex_tb4_extract_steam_in,0.611896090457066,kg / s,0.5,bar,2620.648011334511,kJ / kg,81.31689313303252,C,0.0,K,0.0,K,1.9614331366427047,m^3 / s,3.2055003573851555,m^3 / kg,0.9893402633791694,-,7523.693426677811,J / kgK,tp,,1.0,,,,,,
exchanger1_ex_tb4_main_steam_out,11.320972221064393,kg / s,1.75,bar,256.8218699456386,kJ / kg,61.31689313302189,C,-54.72301010902845,K,54.72301010902845,K,0.011522084513377502,m^3 / s,0.0010177645778459653,m^3 / kg,0.0,-,847.7209916337385,J / kgK,l,,1.0,,,,,,
exchanger2_1_ex_tb3_main_steam,11.913524585281808,kg / s,1.7,bar,267.2835647984443,kJ / kg,63.81711792474755,C,-51.330784927149466,K,51.330784927149466,K,0.012141546736373347,m^3 / s,0.0010191397725718586,m^3 / kg,0.0,-,878.8985412384071,J / kgK,l,,1.0,,,,,,
exchanger2_1_ex_tb4_main_steam,11.320972221064393,kg / s,1.95,bar,133.58262941327027,kJ / kg,31.836310542401577,C,-87.57528361024106,K,87.57528361024106,K,0.011376468281824448,m^3 / s,0.0010049020578512503,m^3 / kg,0.0,-,461.93684393637614,J / kgK,l,,1.0,,,,,,
exchanger2_ex_tb3_extract_steam_out,0.5925523642174151,kg / s,1.5,bar,287.64711578116595,kJ / kg,68.68358333513407,C,-42.66579556563852,K,42.66579556563852,K,0.0006055517366302708,m^3 / s,0.0010219379302114913,m^3 / kg,0.0,-,938.9582763823176,J / kgK,l,,1.0,,,,,,
exchanger2_ex_tb3_main_steam_in,11.913524585281808,kg / s,1.75,bar,258.3566378943113,kJ / kg,61.6835833351185,C,-54.356319906931844,K,54.356319906931844,K,0.012127531504531587,m^3 / s,0.0010179633590141886,m^3 / kg,0.0,-,852.3071772127247,J / kgK,l,,1.0,,,,,,
exchanger2_ex_tb4_extract_steam_out,0.611896090457066,kg / s,0.5,bar,152.5413695050291,kJ / kg,36.403949860944465,C,-44.91294327208806,K,44.91294327208806,K,0.0006158869660814704,m^3 / s,0.0010065221459764897,m^3 / kg,0.0,-,524.1131285074205,J / kgK,l,,1.0,,,,,,
exchanger2_ex_tb4_main_steam_in,11.320972221064393,kg / s,2.0,bar,123.42124184778142,kJ / kg,29.40394986091229,C,-90.80614146705955,K,90.80614146705955,K,0.011367899157053697,m^3 / s,0.0010041451330391915,m^3 / kg,0.0,-,428.46921791644723,J / kgK,l,,1.0,,,,,,
extract_deaerator,0.4505033526482334,kg / s,1.5,bar,2974.472757368559,kJ / kg,250.80224447501428,C,139.45286557424168,K,-139.45286557424168,K,0.7225297354516387,m^3 / s,1.6038276545653407,m^3 / kg,1.0,-,7848.1598982749965,J / kgK,g,,1.0,,,,,,
extract_deaerator_splitter,12.30802793793004,kg / s,1.5,bar,467.1268876385008,kJ / kg,111.34937890077259,C,0.0,K,0.0,K,0.012956973403912194,m^3 / s,0.001052725381292179,m^3 / kg,0.0,-,1433.6891336490166,J / kgK,tp,,1.0,,,,,,
extract_main_steam_tb3,0.5925523642174151,kg / s,1.75,bar,287.67905117271914,kJ / kg,68.68630909477173,C,-47.35359414727861,K,47.35359414727861,K,0.0006055458672635027,m^3 / s,0.0010219280249826497,m^3 / kg,0.0,-,938.9769610344995,J / kgK,l,,1.0,,,,,,
extract_main_steam_tb4,0.611896090457066,kg / s,2.0,bar,152.7300862619993,kJ / kg,36.416977250234254,C,-83.79311407773758,K,83.79311407773758,K,0.0006158488470340136,m^3 / s,0.0010064598493740905,m^3 / kg,0.0,-,524.2350533402715,J / kgK,l,,1.0,,,,,,
extract_valve,0.4505033526482334,kg / s,4.0,bar,2974.472757368559,kJ / kg,254.8672849972636,C,111.25892574215601,K,-111.25892574215601,K,0.2707731994273925,m^3 / s,0.6010459141661935,m^3 / kg,1.0,-,7399.3964133796435,J / kgK,g,,1.0,,,,,,
feed_water_post,0.282,kg / s,2.0,bar,125.91249988837369,kJ / kg,30.000000000016485,C,-90.21009132795535,K,90.21009132795535,K,0.0002832197045899559,m^3 / s,0.001004325193581404,m^3 / kg,0.0,-,436.6952129996337,J / kgK,l,,1.0,,,,,,
feed_water_pre,10.427076130607327,kg / s,2.0,bar,121.6339237303253,kJ / kg,28.976333275662796,C,-91.23375805230904,K,91.23375805230904,K,0.010468971413643084,m^3 / s,0.001004017932017661,m^3 / kg,0.0,-,422.5576032331829,J / kgK,l,,1.0,,,,,,
fuel1_air_compressor_combustion,79.86,kg / s,14.0,bar,678.0186193391968,kJ / kg,393.2983866787358,C,0.0,K,0.0,K,10.952877932888919,m^3 / s,0.13715098839079537,m^3 / kg,0.0,-,6929.751449390102,J / kgK,,0.0129,,0.2314,0.0,0.0,,0.7553,0.0004
fuel1_air_source_compressor,79.86,kg / s,0.978,bar,288.5373019335415,kJ / kg,15.0,C,0.0,K,0.0,K,67.52999175881835,m^3 / s,0.8456047052193633,m^3 / kg,0.0,-,6835.07994512374,J / kgK,,0.0129,,0.2314,0.0,0.0,,0.7553,0.0004
fuel1_compressor_combustion,1.401,kg / s,15.0,bar,1125.655835401903,kJ / kg,119.8028428944395,C,234.42527073330652,K,-234.42527073330652,K,0.18880405125157343,m^3 / s,0.13476377676771836,m^3 / kg,-1.0,-,5910.869320466144,J / kgK,state not recognised,0.0,,0.0,1.0,0.0,,0.0,0.0
fuel1_splitter_compressor,1.401,kg / s,4.5,bar,884.1173039956234,kJ / kg,15.00000000021953,C,154.67640559240792,K,-154.67640559240792,K,0.4608573418128381,m^3 / s,0.32894885211480235,m^3 / kg,-1.0,-,5816.949988706281,J / kgK,state not recognised,0.0,,0.0,1.0,0.0,,0.0,0.0
fuel2_splitter_valve,0.10589229050256355,kg / s,4.5,bar,884.1173039956234,kJ / kg,15.00000000021953,C,154.67640559240792,K,-154.67640559240792,K,0.03483314740862547,m^3 / s,0.32894885211480235,m^3 / kg,-1.0,-,5816.949988706281,J / kgK,state not recognised,0.0,,0.0,1.0,0.0,,0.0,0.0
fuel2_valve_combustion,0.10589229050256355,kg / s,0.978,bar,884.1173039956234,kJ / kg,13.340135675751867,C,175.25110543602494,K,-175.25110543602494,K,0.16045115057544068,m^3 / s,1.515229766151449,m^3 / kg,-1.0,-,6604.393448031798,J / kgK,state not recognised,0.0,,0.0,1.0,0.0,,0.0,0.0
fuel_source_splitter,1.5068922905025637,kg / s,4.5,bar,884.1173039956234,kJ / kg,15.00000000021953,C,154.67640559240792,K,-154.67640559240792,K,0.4956904892214636,m^3 / s,0.32894885211480235,m^3 / kg,-1.0,-,5816.949988706281,J / kgK,state not recognised,0.0,,0.0,1.0,0.0,,0.0,0.0
gas_deliver,81.36689229050256,kg / s,0.975,bar,1035.067054521129,kJ / kg,600.0,C,0.0,K,0.0,K,212.33843001045176,m^3 / s,2.609641637194944,m^3 / kg,0.0,-,7943.191029770806,J / kgK,,0.01266110538356232,,0.15323925670343103,0.0,0.041591751163332386,,0.7413126276127612,0.05119518525868725
gas_out,81.36689229050256,kg / s,0.975,bar,566.080652372609,kJ / kg,178.75450100015303,C,0.0,K,0.0,K,109.8938384273055,m^3 / s,1.3505964813668163,m^3 / kg,0.0,-,7213.798266137135,J / kgK,,0.01266110538356232,,0.15323925670343103,0.0,0.041591751163332386,,0.7413126276127612,0.05119518525868725
