,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
hot_side---enthalpy (kJ / kg),912.6673410118617,887.0446254881975,863.9058030507359,843.0214260682015,824.1812704174635,807.1930415995463,791.8811246840249,778.0853800214508,765.6599876015295,754.4723431775699,744.4020090105325,735.3397214864029,727.1864570809466,719.8525573056912,713.2569124532304,707.3262032242519,701.9941986931268,697.2011085656422,692.8929873006807,689.0211873984958,689.0211481895697,685.8622671614302,682.9944848591368,680.3911139719786,678.027889250671,675.8827520760344,673.935653400361,672.1683736384064,670.5643581681495,669.108567185285,667.787338738414,666.588263852993,665.5000727304922,664.51253108432,663.6163457455224,662.8030787388185,662.0650690930828,661.395361709899,660.7876426693468,660.236180403832
hot_side---temperature (C),493.9762474773951,471.45517245009603,451.01446366218624,432.47982453398845,415.6886899321395,400.48982878440506,386.74292910800375,374.3181569460934,363.09568701097965,352.9652074566509,343.82540421711155,335.5834319796958,328.15437941138237,321.46073603442494,315.4318674217002,310.0035043836732,305.11725070991474,300.7201129267098,296.7640545111159,293.20557610123353,293.2055400504835,290.3001291755447,287.6607819824036,285.26340451418355,283.08603631396306,281.1086702073543,279.31308572015666,277.6826953987362,276.20240327866577,274.85847474164814,273.6384170081633,272.5308695305564,271.5255035758353,270.6129303171688,269.78461678627366,269.0328090741806,268.3504622042061,267.73117613750276,267.16913740766427,266.65906591608245
hot_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_side---differ number (),5.674118381893864,5.693482081891937,5.711357408573086,5.7277810455425655,5.742808363650708,5.756508522857291,5.768960026744626,5.780246858326906,5.790455278156099,5.799671301400917,5.807978780045659,5.815458054473501,5.822185019580708,5.828230598274703,5.833660496090818,5.838535120191992,5.842909727075193,5.846834601248551,5.850355355408928,5.8535132306194875,5.853513259207828,5.85608485664845,5.858415440086636,5.860527620517157,5.8624419053094154,5.864176900708189,5.865749466687138,5.867174878949399,5.868466967104563,5.869638281434001,5.870700152449896,5.871662869572373,5.872535735923822,5.87332718029989,5.87404482864034,5.874695596941148,5.8752857341370195,5.875820926925302,5.876306299765984,5.876746512558524
cold_side---pressure (bar),48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2
cold_side---enthalpy (kJ / kg),1317.4481309011862,1299.7636178147468,1283.7934600919177,1269.3792955312308,1256.3760297825897,1244.6509433229432,1234.0828286818185,1224.5611592554399,1215.985291695606,1208.2637040270695,1201.3132714627568,1195.058581472325,1189.4312891214292,1184.36951311918,1179.817272448236,1175.723962944219,1172.043872759377,1168.7357352980803,1165.7623179482364,1163.0900447469426,1163.0900176853597,1160.909793156502,1158.93048172844,1157.133664116338,1155.5025927151992,1154.0220429115675,1152.678177075851,1151.4584202530887,1150.3513466274062,1149.346575893258,1148.4346787238387,1147.607090583024,1146.8560331812964,1146.1744429279524,1145.5559057812084,1144.994597944436,1144.485231900627,1144.0230073182613,1143.6035664000806,1143.222953281921
cold_side---temperature (C),261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.65904271646366,261.6590427164638,261.6590427164639,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164639,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638
cold_side---vapor mass fraction (-),0.10543634211489397,0.09473415545395188,0.08506945006347909,0.07634638944337653,0.06847716643658076,0.06138146279501202,0.0549859270519171,0.049223671510766384,0.04403378955267979,0.039360894565773304,0.0351546816882131,0.03136951330632206,0.027964028923426785,0.02490077966419294,0.022145887338470345,0.019668727681380886,0.01744163712509745,0.015439642247556834,0.013640210883890017,0.012023023773931718,0.012023007396997371,0.010703594769884014,0.009505769290623479,0.008418384108662564,0.007431304028652048,0.006535315528327591,0.005722044450362248,0.004983880773796556,0.004313909905413229,0.0037058499664288855,0.0031539945845471106,0.002653160735286597,0.002198641209242424,0.0017861613133067324,0.0014118394437238027,0.0010721511970626615,0.0007638967117430462,0.00048417095760016043,0.00023033671417687545,1.222077792593297e-16
cold_side---differ number (),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9999999983557204,2.0,2.0000000016442794,2.0,2.0000000016442794,1.9999999983557204,2.0,2.0000000016442794,2.0000000016442794,2.0,2.0,2.0000000016442794,2.0,2.0,2.0,2.0,1.9999999983557204,2.0000000016442794,2.0,2.0000000016442794,2.0,2.0,2.0,2.0,2.0,2.288874629562725
