,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
hot_side---enthalpy (kJ / kg),912.6614515402856,887.0390555416535,863.9005488005034,843.016481290232,824.1766269621357,807.1886898065109,791.877053745041,778.0815782945979,765.6564428805244,754.4690429201386,744.3989405298634,735.336872109671,727.1838142787578,719.8501087960875,713.2546462836392,707.3241078344729,701.9922629621537,697.1993218448181,692.8913394353968,689.0196687403767,689.0196295931726,685.8608604978944,682.9931824665549,680.3899086409008,678.0267742069602,675.8817209628896,673.9347002598247,672.1674928926208,670.5635446005773,669.1078159220754,667.7866452300555,666.5876238563708,665.499482291439,664.5119865207292,663.6158436310762,662.8026158873661,662.0646425436917,661.3949687125937,660.787280671538,660.2358470374345
hot_side---temperature (C),493.97108447606684,471.45026382599247,451.00981084195746,432.47542638515745,415.68454314654707,400.485928239189,386.73926819998326,374.31472789661166,363.0924811395257,352.9622154227949,343.82261623131023,335.58083798434984,328.15196923409644,321.45849951580465,315.4297945202069,310.00158526010637,305.1154757940434,300.718472968441,296.7625406184154,293.20417976681824,293.20414377280713,290.2988349517567,287.65958297059115,285.26229425193094,283.08500870849866,281.10771952403934,279.3122065697338,277.6818827236858,276.20165233897194,274.85778110021397,273.6377765160852,272.530278312423,271.5249580151858,270.6124270422231,269.78415265601575,269.0323811648642,268.35006779633204,267.730812703301,267.1688025991093,266.65875755345087
hot_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_side---differ number (),5.674158609839288,5.693522367666423,5.711397704306673,5.727821325164546,5.742848594483267,5.756548684809075,5.76900010763711,5.780286844418291,5.790495166075452,5.7997110767043125,5.808018455313243,5.815497616862768,5.822224476048458,5.828269954087086,5.833699747625292,5.8385742787094905,5.8429487900812775,5.846873578651147,5.8503942551784505,5.853552056363821,5.853552084952439,5.85612361217926,5.858454127817729,5.860566245465535,5.862480477456867,5.864215427835586,5.86578793529833,5.867213306668228,5.868505357395451,5.869676625971847,5.870738466843958,5.871701155237958,5.872573980072662,5.873365394049777,5.8740830136539035,5.874733754948469,5.875323881223439,5.875859043495851,5.876344397246676,5.876784592891285
cold_side---pressure (bar),48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2
cold_side---enthalpy (kJ / kg),1317.4354788406524,1299.752081284454,1283.782949686364,1269.3697282064395,1256.367328508832,1244.6430367447572,1234.0756507857996,1224.5546490465406,1215.9793928828158,1208.2583647193972,1201.3084438763829,1195.0542216496915,1189.427356662888,1184.3659709276487,1179.8140864871439,1175.7211020088566,1172.0413082616117,1168.7334410642654,1165.7602700300274,1163.0882212446454,1163.0881942270482,1160.9081572897135,1158.9290179971172,1157.132358308884,1155.501431768043,1154.0210148196772,1152.6772708097774,1151.457625682125,1150.3506544484703,1149.3459775651186,1148.4341664063247,1147.6066570808746,1146.8556718923253,1146.1741477952248,1145.5556712489354,1144.9944189173218,1144.4851037064116,1144.0229256732205,1143.6035273772645,1143.222953281921
cold_side---temperature (C),261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164639,261.6590427164639,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164639,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164639,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638,261.6590427164638
cold_side---vapor mass fraction (-),0.10542868543173753,0.09472717385937775,0.08506308945170712,0.07634059955844946,0.0684719006622003,0.06137667794879174,0.05498158318433925,0.04921973170928582,0.04403021975150689,0.03935766336189055,0.0351517601641517,0.031366874860162826,0.027961649106400543,0.024898636026153702,0.022143959281410566,0.01966699632105867,0.017440085160752034,0.01543825383960845,0.013638971539451704,0.012021920239903566,0.012021903889588152,0.010702604787765782,0.009504883480210542,0.00841759386948298,0.0074306014549871775,0.006534693355058773,0.005721496002766383,0.004983399921045429,0.004313491017534378,0.003705487874501302,0.0031536845439124263,0.0026528983915682274,0.00219842256697679,0.0017859827070016462,0.0014116975111667011,0.0010720428547190788,0.0007638191320881718,0.00048412154824061725,0.00023031309862914736,1.222077792593297e-16
cold_side---differ number (),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9999999983557877,2.0,1.9999999983557877,2.0,2.0,2.0,1.9999999983557877,2.0,2.0,2.0,2.0,2.0,2.0000000016442123,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9999999983557877,2.0,2.0,2.0,2.0,2.0000000016442123,2.0000000016442123,1.9999999983557877,2.0000000016442123,2.288862827032191
