,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
hot_side---enthalpy (kJ / kg),567.8007804348988,567.7889129587694,567.7763523745948,567.7630579309925,567.74898644902,567.7340921740735,567.7183266183877,567.701638393505,567.6839730320373,567.6652727980004,567.6454764849426,567.6245192010418,567.6023321402799,567.5788423387464,567.5539724150518,567.5276402937651,567.4997589107111,567.4702358988842,567.438973253655,567.4058669758513,567.4058412690654,567.3685781155398,567.3289729678319,567.2868759315355,567.2421272272196,567.1945565116806,567.143982151067,567.0902104426076,567.0330347815262,566.9722347695936,566.9075752616595,566.8388053464222,566.7656572576476,566.6878452120507,566.6050641701017,566.5169885161372,566.4232706543354,566.3235395173645,566.2173989848154,566.1044262088683
hot_side---temperature (C),180.37424059671685,180.36306736563472,180.35124154823188,180.33872477261463,180.3254763807169,180.31145328878335,180.29660983899026,180.28089764161342,180.26426540710207,180.24665876737788,180.22802008562735,180.2082882538054,180.18739847701096,180.16528204383735,180.1418660817365,180.11707329637034,180.09082169384914,180.063024284684,180.0335887681985,180.00241719606458,180.00239299149445,179.96730725502977,179.93001612794308,179.89037842704727,179.84824365451345,179.80345135775997,179.75583044388242,179.70519844552894,179.65136073497837,179.5941096830565,179.5332237594157,179.4684665706199,179.39958583243333,179.32631227270116,179.2483584612549,179.1654175633779,179.07716201353117,178.98324210625816,178.8832845014732,178.77689064163712
hot_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_side---differ number (),2.060198047655095,2.0601981711184805,2.0601983017963144,2.0601984400520457,2.0601985864671906,2.060198741423371,2.060198905374896,2.0601990789759737,2.0601992627172585,2.0601994571620956,2.0601996630737265,2.060199880924634,2.0602001117143005,2.060200355951554,2.0602006145268428,2.060200888167063,2.0602011780534224,2.060201485040024,2.060201809908281,2.060202154021126,2.060202154257367,2.060202541529697,2.0602029530076824,2.0602033904722217,2.060203855340762,2.060204349485062,2.060204874722364,2.0602054331243225,2.0602060267807656,2.0602066579814178,2.060207329161382,2.0602080428284517,2.0602088018356963,2.060209609018012,2.060210467610089,2.060211380882962,2.060212352471113,2.0602133860998886,2.060214485894426,2.0602156560525526
cold_side---pressure (bar),9.0,9.005263157894737,9.010526315789475,9.01578947368421,9.021052631578947,9.026315789473685,9.031578947368422,9.036842105263158,9.042105263157895,9.047368421052632,9.052631578947368,9.057894736842105,9.063157894736841,9.068421052631578,9.073684210526316,9.078947368421053,9.08421052631579,9.089473684210526,9.094736842105263,9.1,9.1,9.105263157894736,9.110526315789475,9.11578947368421,9.121052631578948,9.126315789473685,9.131578947368421,9.136842105263158,9.142105263157895,9.147368421052631,9.152631578947368,9.157894736842106,9.163157894736841,9.16842105263158,9.173684210526316,9.178947368421053,9.18421052631579,9.189473684210526,9.194736842105263,9.2
cold_side---enthalpy (kJ / kg),733.6664734942829,731.814104490368,729.8535497319434,727.7784484227537,725.5820608538418,723.2572452868417,720.7964333700475,718.1916039888157,715.4342554448967,712.5153758517813,709.4254116251794,706.1542339391516,702.6911030092988,699.0246300546256,695.1427367793274,691.0326122046796,686.6806666694883,682.0724828051576,677.1927632783405,672.0252750803737,672.0212626013205,666.2049365496835,660.0230536278973,653.452217138198,646.4674874504548,639.0422760577999,631.1482321202741,622.7551209860246,613.830694156751,604.3405501435664,594.2479856421658,583.5138364433064,572.0963074873961,559.9507914718081,547.0296754278149,533.2821347019136,518.6539138046405,503.08709362865284,486.5198445853003,468.886165261407
cold_side---temperature (C),173.32101349279435,172.89790360419278,172.44992125706455,171.9755853014682,171.4733242802821,170.94147070296702,170.37825493563747,169.7817986803226,169.1501080141976,168.48106595776022,167.77242453847907,167.02179631443119,166.22664531981303,165.38427739195572,164.49182983672517,163.54626038666777,162.54433540355677,161.48261727433896,160.35745094680914,159.164949548883,159.16402325411286,157.82060297205186,156.39138851915294,154.87074037078457,153.2526330374904,151.53062767287742,149.69784278481518,147.74692295440963,145.67000547251536,143.45868481228013,141.10397486844494,138.59626891079472,135.92529722068787,133.08008240639435,130.04889242516253,126.81919137665335,123.3775881722745,119.70978322462321,115.800513334904,111.63349497570681
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),4.278839241994381,4.279655698254316,4.280515430894038,4.281420365892565,4.282372914269285,4.28337496229231,4.284428801848304,4.28553677871731,4.286701380504038,4.287924553042959,4.289209198066821,4.290557414580739,4.291971406540084,4.293454197646819,4.295007884069564,4.296635129275625,4.298337896118429,4.300118709077104,4.301979513986122,4.3039226169146145,4.303924012469366,4.306077254174823,4.308326979203241,4.3106749405075435,4.313122008891203,4.315669372844954,4.318316847996725,4.321063918104717,4.323909128047818,4.326850265361175,4.3298838269754425,4.33300511565755,4.336208461257194,4.3394860322161,4.342828110707884,4.346223776232959,4.349659583812615,4.353119365434479,4.356585237007669,4.360036321940773
