,pr,pr_unit,dp,dp_unit,zeta,zeta_unit
valve_25_30,0.23107569721115537,-,0.193,bar,31.636225011017494,(Pa*s)/(m^3*s)
valve_26_27,0.04566929133858268,-,1.212,bar,190177.55261726287,(Pa*s)/(m^3*s)
valve_34_35,0.19763779527559056,-,1.019,bar,30841.081281166003,(Pa*s)/(m^3*s)
valve_3_4,0.006649214659685864,-,189.73,bar,283540232005.2252,(Pa*s)/(m^3*s)
valve_42_43,0.32564102564102565,-,2.63,bar,348494.9328279409,(Pa*s)/(m^3*s)
valve_47_48,0.1240234375,-,8.97,bar,3471568643.9266157,(Pa*s)/(m^3*s)
valve_49_50,0.3564453125,-,6.59,bar,5713633.353654913,(Pa*s)/(m^3*s)
valve_51_53,0.1697674418604651,-,17.85,bar,33995.25770730391,(Pa*s)/(m^3*s)
valve_58_60,0.5218446601941747,-,19.7,bar,176411.484331193,(Pa*s)/(m^3*s)
valve_5_6,0.030825242718446604,-,39.93,bar,50172159970.00777,(Pa*s)/(m^3*s)
