,m,m_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,Td_dew,Td_dew_unit,v,v_unit,vol,vol_unit,x,x_unit,s,s_unit,phase,Water
c1,529.9089007920321,kg / s,38.0,bar,3516.6347467215087,kJ / kg,530.0000000000011,C,282.669709164535,K,-282.669709164535,K,50.38915060614554,m^3 / s,0.09509021367791905,m^3 / kg,-1.0,-,7204.801529413584,J / kgK,state not recognised,1
c10,60.16397308941266,kg / s,21.5,bar,3346.277112282879,kJ / kg,445.48634147196924,C,229.42219199746756,K,-229.42219199746756,K,9.076561691333374,m^3 / s,0.15086373497714733,m^3 / kg,-1.0,-,7237.366788340239,J / kgK,state not recognised,1
c11,469.20705943351805,kg / s,10.24,bar,3151.1005662533166,kJ / kg,346.8960398836158,C,165.98486845849783,K,-165.98486845849783,K,128.69721045918942,m^3 / s,0.2742866030501924,m^3 / kg,1.0,-,7280.729773319218,J / kgK,g,1
c12,0.5378682691013607,kg / s,10.24,bar,3151.1005662533166,kJ / kg,346.8960398836158,C,165.98486845849783,K,-165.98486845849783,K,0.14753006042029898,m^3 / s,0.2742866030501924,m^3 / kg,1.0,-,7280.729773319218,J / kgK,g,1
c13,440.20698275480424,kg / s,3.9,bar,2937.0657675917723,kJ / kg,236.4986941646477,C,93.80068301450183,K,-93.80068301450183,K,261.48046266745075,m^3 / s,0.5939943547262985,m^3 / kg,1.0,-,7338.808519859098,J / kgK,g,1
c14,29.0000766787138,kg / s,3.9,bar,2937.0657675917723,kJ / kg,236.4986941646477,C,93.80068301450183,K,-93.80068301450183,K,17.22588183378578,m^3 / s,0.5939943547262985,m^3 / kg,1.0,-,7338.808519859098,J / kgK,g,1
c15,408.48829444236264,kg / s,1.27,bar,2736.147989821549,kJ / kg,130.93145276038865,C,24.504076012012547,K,-24.504076012012547,K,591.9356055685843,m^3 / s,1.4490882936478022,m^3 / kg,1.0,-,7407.763147619362,J / kgK,g,1
c16,31.71868831244162,kg / s,1.27,bar,2736.147989821549,kJ / kg,130.93145276038865,C,24.504076012012547,K,-24.504076012012547,K,45.963179923422516,m^3 / s,1.4490882936478022,m^3 / kg,1.0,-,7407.763147619362,J / kgK,g,1
c17,391.17005896183446,kg / s,0.251,bar,2506.515503419529,kJ / kg,65.052090697425,C,0.0,K,0.0,K,2302.962751714592,m^3 / s,5.887369697534255,m^3 / kg,0.9526367815289465,-,7500.35134188046,J / kgK,tp,1
c18,17.318235480528163,kg / s,0.251,bar,2506.515503419529,kJ / kg,65.052090697425,C,0.0,K,0.0,K,101.95885478282409,m^3 / s,5.887369697534255,m^3 / kg,0.9526367815289465,-,7500.35134188046,J / kgK,tp,1
c19,391.17005896183446,kg / s,0.058,bar,2330.0633812988376,kJ / kg,35.54213272406031,C,0.0,K,0.0,K,8651.397062354094,m^3 / s,22.116715899255954,m^3 / kg,0.9025669647051918,-,7578.298430470396,J / kgK,tp,1
c2,580.486,kg / s,191.0,bar,3347.0471093899196,kJ / kg,529.9999999986525,C,168.09017036878925,K,-168.09017036878925,K,9.733341379366212,m^3 / s,0.01676757299808473,m^3 / kg,-1.0,-,6297.003144826602,J / kgK,state not recognised,1
c20,13159.280916290661,kg / s,2.95,bar,128.26483541975819,kJ / kg,30.542132724411204,C,-102.40808867682642,K,102.40808867682642,K,13.21782744744538,m^3 / s,0.0010044490676600908,m^3 / kg,0.0,-,444.13345535739234,J / kgK,l,1
c21,13159.280916290661,kg / s,3.0,bar,63.2670213464866,kJ / kg,14.999999999954127,C,-118.52242046098888,K,118.52242046098888,K,13.169877861882547,m^3 / s,0.0010008052830287077,m^3 / kg,0.0,-,224.41829280752196,J / kgK,l,1
c22,469.24105943351805,kg / s,0.058,bar,148.8998510445377,kJ / kg,35.54213272406031,C,0.0,K,0.0,K,0.4721668076380557,m^3 / s,0.0010062350643570486,m^3 / kg,0.0,-,512.4768592933796,J / kgK,tp,1
c23,469.24105943351805,kg / s,4.0,bar,149.39563086948576,kJ / kg,35.57612927123017,C,-108.03222998387741,K,108.03222998387741,K,0.47208980247045396,m^3 / s,0.001006070958582301,m^3 / kg,0.0,-,512.7980493921427,J / kgK,l,1
c24,78.0710004716836,kg / s,0.058,bar,176.0370413870928,kJ / kg,35.54213272406031,C,0.0,K,0.0,K,21.560190053333773,m^3 / s,0.2761613137153746,m^3 / kg,0.011229387974982043,-,600.3870697126812,J / kgK,tp,1
c25,77.3491244674419,kg / s,0.058,bar,173.51470622646144,kJ / kg,35.54213272406031,C,0.0,K,0.0,K,19.38263286298572,m^3 / s,0.25058632526790053,m^3 / kg,0.01018564395564443,-,592.2160316678403,J / kgK,tp,1
c26,0.7218760042417142,kg / s,0.058,bar,446.30564034574763,kJ / kg,35.54213272406031,C,0.0,K,0.0,K,2.1775571903480477,m^3 / s,3.01652524471351,m^3 / kg,0.12306671957973227,-,1475.915048264205,J / kgK,tp,1
c27,0.7218760042417142,kg / s,1.27,bar,446.30564034574763,kJ / kg,106.4273767483761,C,0.0,K,0.0,K,0.0007569664682527454,m^3 / s,0.0010486100989710713,m^3 / kg,0.0,-,1379.2513176083478,J / kgK,tp,1
c28,0.7218760042417142,kg / s,1.27,bar,2755.5002608322548,kJ / kg,140.49419076568705,C,34.066814017310946,K,-34.066814017310946,K,1.0723047635446354,m^3 / s,1.4854417618037117,m^3 / kg,1.0,-,7455.097937281619,J / kgK,g,1
c29,469.24105943351805,kg / s,3.95,bar,152.94807401601187,kJ / kg,36.42737674838537,C,-106.72812669109652,K,106.72812669109652,K,0.4722332036097589,m^3 / s,0.001006376560865865,m^3 / kg,0.0,-,524.3052670304342,J / kgK,l,1
