,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2
hot_side---enthalpy (kJ / kg),2980.4985788968534,2839.845502110149,2798.1787694988784,2778.8011332173023,2758.5860570349932,2737.496838549595,2715.4951239888055,2692.540830422936,2668.5920640436516,2643.605034290972,2617.533963597487,2590.330992504692,2561.9460798926616,2532.326898041374,2501.41872224283,2469.164314641774,2435.503801981413,2400.3745469033897,2363.711012431082,2325.444619242632,2325.4445820751484,2283.673590646778,2239.986511232374,2194.292976771083,2146.498150837397,2096.5024902969217,2044.2014942318467,1989.485438284779,1932.239093516779,1872.341428820181,1809.6652958688226,1744.077095527801,1675.4364245820216,1603.595701577602,1528.399770503123,1449.6854809688582,1367.281243472263,1281.0065582673749,1190.6715162855135,1096.0762704854965
hot_side---temperature (C),308.1485805736245,262.5660143183467,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312,252.1131216672312
hot_side---vapor mass fraction (-),,,0.9988029145981077,0.9874320132526956,0.9755696976627609,0.9631944306609078,0.9502837060469611,0.9368140029418777,0.9227607378332703,0.9080982141846695,0.8927995694729437,0.8768367195100534,0.8601802998972848,0.8427996044466728,0.8246625204047947,0.8057354602898816,0.785983290152347,0.765369254052918,0.7438548945407055,0.7213999689002493,0.7213999470901694,0.6968885043254167,0.6712526908096749,0.6444394786648828,0.6163932173657274,0.587055494464768,0.5563649882605526,0.5242573119091447,0.4906648484485074,0.45551657617274227,0.4187378837591882,0.3802503745158673,0.33997165907989696,0.29781513585920855,0.25368975847057107,0.20749978938650313,0.1591445389626643,0.10851808897588308,0.05550899976173448,0.0
hot_side---differ number (),33.552416963805314,26.545884793599033,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.948460903999063
cold_side---pressure (bar),193.05,193.05131578947368,193.05263157894737,193.05394736842106,193.05526315789473,193.05657894736842,193.05789473684212,193.05921052631578,193.06052631578947,193.06184210526317,193.06315789473683,193.06447368421053,193.06578947368422,193.06710526315788,193.06842105263158,193.06973684210527,193.07105263157894,193.07236842105263,193.07368421052632,193.075,193.075,193.07631578947368,193.07763157894738,193.07894736842107,193.08026315789473,193.0815789473684,193.0828947368421,193.0842105263158,193.08552631578948,193.08684210526317,193.08815789473684,193.0894736842105,193.0907894736842,193.0921052631579,193.09342105263158,193.09473684210528,193.09605263157894,193.0973684210526,193.0986842105263,193.1
cold_side---enthalpy (kJ / kg),1073.0629695915743,1060.8123849725398,1057.1833009502461,1055.4955499361372,1053.7348596831457,1051.898033489884,1049.9817308241447,1047.9824605477804,1045.8965737989552,1043.7202565127877,1041.4495215602653,1039.0802004840773,1036.6079348088308,1034.0281669011154,1031.3361303549525,1028.5268398745689,1025.5950806263074,1022.5353970291288,1019.3420809513937,1016.0091592796464,1016.009156042437,1012.3709912983394,1008.5659393552793,1004.5861294339528,1000.423301482876,996.0687855062051,991.513479695678,986.7478272925254,981.761792100602,976.5448325671749,971.0858743427569,965.3732812261034,959.3948243950184,953.1376498179354,946.5882437353941,939.7323960945421,932.5551618137027,925.040819747899,917.1728292201053,908.9337839769726
cold_side---temperature (C),247.11312166646792,244.48501528021484,243.70432642434048,243.34092499853375,242.9615968114931,242.56562526231085,242.15225999474148,241.72071519014742,241.27016776587914,240.7997554733946,240.30857489002346,239.79567929842983,239.2600764438455,238.70072616942048,238.11653791176644,237.5063680560686,236.86901713900085,236.20322689067268,235.50767710578316,234.78098233357377,234.78098162738996,233.98688021498225,233.1554066901524,232.28471898561622,231.37287765057175,230.4178402402784,229.41745535788965,228.36945632684666,227.2714544709222,226.12093197793,224.9152343219489,223.65156221780995,222.32696308056876,220.9383219616683,219.48235193268943,217.9555838868078,216.3543557276406,214.67480091484367,212.91283633595873,211.06414947450122
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),3.632717153373489,3.6397072369094845,3.641744289541857,3.642686617416949,3.643666217517473,3.6446842430843236,3.645742228881698,3.6468415059056642,3.6479835352170555,3.649169769205719,3.650401738300359,3.6516810683105074,3.653009176942075,3.6543878222371005,3.6558186104954014,3.6573031848684763,3.65884325137246,3.66044051385574,3.6620967520378174,3.6638137369672066,3.663813697947778,3.6656743133943652,3.667605332896878,3.669608668407326,3.6716864659942883,3.6738407113131393,3.6760735395937303,3.678386806426672,3.6807826535450525,3.6832628281521815,3.6858292096838774,3.688483658066242,3.6912278142830304,3.6940631805822477,3.6969913545927264,3.7000134440326944,3.7031305913043147,3.7063438022417508,3.709653588433068,3.713060472305062
