,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
hot_side---enthalpy (kJ / kg),2937.0657675917723,2666.4339429328884,2642.0164702857505,2616.6305684384834,2590.2376533639435,2562.797590501892,2534.2686314998923,2504.6073483145815,2473.7685645513698,2441.7052839334624,2408.3686157709762,2373.707697302305,2337.6696127730324,2300.1993091107024,2261.239508054041,2220.7306145759862,2178.610621448034,2134.8150097775224,2089.2766453456866,2041.925670567059,2041.9255919778918,1990.6470094496701,1937.2407070754389,1881.6176425457656,1823.6849935539071,1763.3459940596829,1700.4997633351861,1635.0411274807902,1566.8604330883115,1495.843352717341,1421.8706818394103,1344.8181268937888,1264.556084087699,1180.949408563076,1093.8571735416504,1003.1324190501555,908.621889817794,810.1657619290564,707.5973578066048,600.7428490906043
hot_side---temperature (C),236.4986941646477,142.69801115014587,142.69801115014582,142.69801115014593,142.69801115014587,142.69801115014587,142.69801115014587,142.69801115014587,142.69801115014587,142.69801115014587,142.69801115014587,142.69801115014587,142.69801115014587,142.69801115014582,142.69801115014582,142.69801115014587,142.69801115014587,142.69801115014587,142.69801115014587,142.69801115014593,142.69801115014593,142.69801115014582,142.69801115014593,142.69801115014587,142.69801115014587,142.69801115014587,142.69801115014587,142.69801115014593,142.69801115014587,142.69801115014593,142.69801115014593,142.69801115014582,142.69801115014582,142.69801115014587,142.69801115014587,142.69801115014587,142.69801115014587,142.69801115014587,142.69801115014587,142.69801115014587
hot_side---vapor mass fraction (-),,0.9670122495245029,0.9555816947708915,0.9436977891256033,0.9313424702428232,0.9184969499254703,0.9051416845117043,0.8912563440257466,0.876819780035923,0.861809992168858,0.8462040932193227,0.8299782727958871,0.8131077594393209,0.7955667811474125,0.7773285242400098,0.7583650904890809,0.738647452442408,0.7181454068620942,0.6968275261972814,0.6746611080070918,0.6746610712171344,0.6506560214829994,0.6256549219712473,0.5996160892935901,0.5724960705310908,0.5442495665843479,0.5148293521446415,0.48418619214019715,0.45226875450629733,0.4190235191228902,0.38439468275803473,0.34832405985043335,0.31075097895914555,0.2716121747035932,0.23084167501211536,0.18837068349266553,0.1441274567347178,0.09803717634721401,0.05002181553346257,0.0
hot_side---differ number (),52.57369851000788,2.0,2.0,2.0,2.0,2.0,1.999999970416284,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.000000029583716,2.000000029583716,2.0,1.999999970416284,2.000000029583716,1.999999970416284,2.000000029583716,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.000000059167432,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.134801730787695
cold_side---pressure (bar),3.65,3.651315789473684,3.6526315789473687,3.653947368421053,3.655263157894737,3.6565789473684207,3.657894736842105,3.6592105263157895,3.6605263157894736,3.661842105263158,3.663157894736842,3.6644736842105265,3.6657894736842107,3.667105263157895,3.668421052631579,3.6697368421052627,3.6710526315789473,3.6723684210526315,3.6736842105263157,3.675,3.675,3.6763157894736844,3.6776315789473686,3.6789473684210527,3.680263157894737,3.6815789473684206,3.682894736842105,3.6842105263157894,3.6855263157894735,3.6868421052631577,3.6881578947368423,3.6894736842105265,3.6907894736842106,3.692105263157895,3.6934210526315794,3.694736842105263,3.6960526315789473,3.6973684210526314,3.6986842105263156,3.7
cold_side---enthalpy (kJ / kg),579.3115353607988,562.5859238461486,561.0768730825129,559.5079713734046,557.8768341454297,556.180980999013,554.4178317988542,552.5847026012484,550.6788014107365,548.6972237593415,546.6369481004039,544.494831009117,542.267602181434,539.9518592225929,537.5440622165197,535.04052806618,532.4374245954562,529.7307644021446,526.9163984514311,523.9900093987558,523.9900045417811,520.8208811341035,517.5202601998463,514.0826387384744,510.5022801377306,506.7732040544019,502.889175848987,498.84369555501365,494.62998636303286,490.24098259865036,485.6693171732526,480.9073084854122,475.94694675028023,470.7798797336098,465.39739786641985,459.79041871568853,453.94947078586944,447.8646766254659,441.525735212378,434.92190359122515
cold_side---temperature (C),137.69801115014616,133.78382310863998,133.43027464276923,133.0626401460334,132.68035355888242,132.28282572750362,131.86944344016194,131.43956841902116,130.99253627213488,130.52765539825697,130.04420584498246,129.5414381177082,129.01857193687067,128.4747949435557,127.90926134646645,127.32109051321373,126.70936550014363,126.07313151930543,125.41139433991827,124.72311862157022,124.72311747909617,123.97752628407488,123.20075077249493,122.39146821559524,121.54829863407531,120.66980227280783,119.75447696567352,118.80075538666136,117.8070021829979,116.7715109863475,115.69250129793795,114.5681152436486,113.39641419503499,112.17537525240431,110.9028875861593,109.57674863277242,108.19466014185633,106.75422407103423,105.25293832554826,103.68819233956532
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),3.50393778470149,3.50691225417367,3.5071728742410704,3.5074422026699077,3.507720672775668,3.508008642912087,3.5083063379644166,3.508613871289451,3.5089315409058575,3.509259666772329,3.5095984225807264,3.509948183139804,3.510308868002804,3.5106811499971498,3.51106481886427,3.5114605474315876,3.5118680651054652,3.5122880520266655,3.5127202321165467,3.513165084398978,3.5131650807423074,3.5136415339735265,3.514132005052139,3.5146364665531156,3.5151552439201534,3.5156882073414404,3.516235462860429,3.5167968916353187,3.5173726326195998,3.5179625505164527,3.518566365590565,3.5191839900818365,3.5198151277999363,3.5204593746827433,3.5211163943165475,3.52178567111077,3.522466539551331,3.5231585900911044,3.523860670878798,3.524572068863611
