,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
hot_side---enthalpy (kJ / kg),2755.5002608322548,2666.838293089781,2607.17244807641,2547.487863693971,2487.784534060507,2428.062453292246,2368.3216155036207,2308.5620148073153,2248.78364531417,2188.986501133278,2129.1705763719037,2069.3358651355243,2009.4823615278458,1949.610059650751,1889.7189536043466,1829.8090374869346,1769.880305395022,1709.9327514233244,1649.9663696647779,1589.981154210498,1589.9712728818813,1529.9483632887254,1469.9065963445912,1409.8459661297115,1349.7664667225076,1289.6680921995828,1229.5508366357535,1169.4146941040449,1109.2596586756697,1049.085724420037,988.8928854047635,928.6811356956365,868.4504693566706,808.2008804500522,747.9323630361977,687.6449111736899,627.3385189193176,567.0131803280534,506.66888945307943,446.30564034574763
hot_side---temperature (C),140.49419076568705,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.4273767483761,106.42737674837616,106.4273767483761,106.42737674837616,106.4273767483761,106.4273767483761,106.42737674837616,106.4273767483761
hot_side---vapor mass fraction (-),,0.9916239670471018,0.9649789718220771,0.9383256081510976,0.9116638734074558,0.8849937649636341,0.8583152801913128,0.8316284164613913,0.8049331711439458,0.778229541608272,0.7515175252228491,0.7247971193553584,0.6980683213726899,0.6713311286409197,0.6445855385253303,0.6178315483903988,0.5910691555998002,0.5642983575164102,0.5375191515023091,0.5107315349187647,0.510727122210728,0.4839226725436976,0.4571098017434937,0.4302885071665237,0.4034587861683869,0.3766206361038694,0.3497740543269607,0.32291903819084944,0.2960555850479154,0.2691836922497326,0.24230335714707493,0.215414577089899,0.18851734942737006,0.16161167150783667,0.13469754067885722,0.10777495428717111,0.08084390967871667,0.053904404198621095,0.02695643519121208,0.0
hot_side---differ number (),18.05487045406467,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.832700135683981
cold_side---pressure (bar),3.95,3.9513157894736843,3.9526315789473685,3.9539473684210527,3.9552631578947373,3.956578947368421,3.957894736842105,3.9592105263157893,3.9605263157894735,3.961842105263158,3.963157894736842,3.9644736842105264,3.9657894736842105,3.967105263157895,3.9684210526315793,3.969736842105263,3.971052631578947,3.9723684210526313,3.973684210526316,3.975,3.975,3.9763157894736842,3.9776315789473684,3.978947368421053,3.980263157894737,3.981578947368421,3.982894736842105,3.984210526315789,3.985526315789474,3.986842105263158,3.988157894736842,3.9894736842105263,3.990789473684211,3.992105263157895,3.993421052631579,3.994736842105263,3.996052631578947,3.9973684210526312,3.998684210526316,4.0
cold_side---enthalpy (kJ / kg),152.94807401601187,152.81167728406473,152.71988791286188,152.62806971319105,152.53622267600346,152.44434679224761,152.35244205286915,152.26050844881112,152.16854597101369,152.07655461041435,151.98453435794775,151.89248520454584,151.80040714113778,151.70830015865,151.61616424800616,151.5239994001271,151.43180560593098,151.33958285633315,151.24733114224625,151.1550504545801,151.1550352532378,151.0626965772652,150.97032889132234,150.87793218630233,150.78550645309545,150.69305168258919,150.60056786566835,150.5080549932149,150.41551305610804,150.32294204522418,150.23034195143705,150.13771276561752,150.0450544786337,149.95236708135087,149.85965056463172,149.76690491933596,149.67413013632066,149.58132620644002,149.48849312054548,149.39563086948576
cold_side---temperature (C),36.42737674838537,36.394705984437564,36.37271068605554,36.3507084837384,36.328699375355086,36.306683358798296,36.28466043201621,36.26263059284338,36.2405938392306,36.21855016903095,36.19649958014617,36.17444207049783,36.15237763794585,36.13030628040514,36.108227995757886,36.08614278189714,36.0640506367202,36.04195155813801,36.019845544014856,35.99773259224969,35.99772895423422,35.97560212104747,35.95346834162524,35.93132761388836,35.909179935709574,35.8870253049551,35.86486371952816,35.84269517732571,35.8205196762205,35.79833721409585,35.776147788847766,35.75395139832875,35.73174804045834,35.7095377130907,35.687320414148246,35.66509614147867,35.64286489297655,35.620626666509736,35.59838145997708,35.57612927123017
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),2.0119194944116185,2.0119194923307497,2.0119194921467276,2.011919493633062,2.011919494991997,2.0119194940577296,2.011919499535935,2.011919497624933,2.0119194994510017,2.0119195043488287,2.0119195031172943,2.0119195042638953,2.011919506217364,2.0119195087087443,2.0119195106197463,2.0119195129837264,2.0119195106622128,2.0119195089635444,2.01191951456915,2.011919513818905,2.011919514017083,2.0119195146257725,2.0119195129412595,2.011919520103978,2.0119195183345315,2.011919518971532,2.011919521250579,2.011919522935092,2.011919516083796,2.0119195212364236,2.011919524081693,2.0119195250867383,2.0119195265730734,2.011919527875386,2.011919525737895,2.011919524874405,2.0119195242374044,2.0119195282717417,2.011919526219184,2.0119195274931854
