,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
hot_side---enthalpy (kJ / kg),925.4197089557788,904.4870143803404,884.8410167398151,866.4118321390574,849.1318218756351,832.9358245732229,817.76130970017,803.5484687021662,790.2402568582718,777.7823964677051,766.1233499609119,755.2142698967164,745.0089314831685,735.4636521791659,726.537202057546,718.1907078869343,710.3875533044873,703.0932769696366,696.2754701956736,689.9036752343344,689.903659957094,684.3157688762266,679.0721672792397,674.1519456033776,669.5354238067426,665.204084654786,661.1405098055105,657.328318710577,653.7521103204674,650.3974075588916,647.250604513624,644.2989162771239,641.5303313598296,638.9335665913737,636.4980244196295,634.2137525140345,632.071405577683,630.0622092720032,628.1779261580972,626.4108235599494
hot_side---temperature (C),216.06414947450168,211.48723996184157,207.1651723620693,203.08855240667356,199.24741735805105,195.63147031476728,192.2302649353079,189.03335013855906,186.03038245446942,183.21121220740753,180.5659485439703,178.0850073740503,175.75914554497763,173.57948394209598,171.53752173635723,169.62514357531035,167.8346211950104,166.15861065705968,164.59014619401563,163.12263146467677,163.12262794421503,161.83436205134603,160.62438713353788,159.48809271735087,158.42111941530874,157.419348253794,156.4788899635211,155.59607433753933,154.76743973965068,153.98972282781926,153.25984854206314,152.57492039392065,151.93221108433517,151.32915346846875,150.7633318790986,150.23247381468826,149.7344419938346,149.2672267740973,148.8289389304457,148.41780278626555
hot_side---vapor mass fraction (-),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_side---differ number (),3.463401275001299,4.945937955404129,4.963048659188802,4.978384669192579,4.992160681906187,5.004560788873192,5.0157435724251656,5.025847178514642,5.034991446617908,5.043280841214104,5.050806577870974,5.057649562358023,5.063879982224302,5.069560429129007,5.074746047705659,5.079485436381193,5.083822235260477,5.087795171930669,5.091438038559037,5.094782069902699,5.094781966842888,5.09766667205524,5.100333638603896,5.1028007836280365,5.105084760829886,5.107200842146781,5.109162532231134,5.110982331856445,5.112671402018659,5.1142401822950365,5.11569779157043,5.117053154061157,5.11831372442696,5.119486747390923,5.120578689001997,5.121595938968531,5.122543615927855,5.123426941577117,5.12425060704628,5.1250187423618865
cold_side---pressure (bar),193.15,193.1513157894737,193.1526315789474,193.15394736842106,193.15526315789472,193.15657894736842,193.1578947368421,193.1592105263158,193.1605263157895,193.16184210526316,193.16315789473683,193.16447368421052,193.1657894736842,193.1671052631579,193.1684210526316,193.16973684210527,193.17105263157893,193.17236842105262,193.17368421052632,193.175,193.175,193.17631578947368,193.17763157894737,193.17894736842106,193.18026315789473,193.18157894736842,193.18289473684212,193.18421052631578,193.18552631578947,193.18684210526317,193.18815789473683,193.18947368421053,193.19078947368422,193.19210526315788,193.19342105263158,193.19473684210527,193.19605263157894,193.19736842105263,193.19868421052632,193.2
cold_side---enthalpy (kJ / kg),673.1171101030765,669.1243656529858,665.3770483755562,661.8618284754527,658.5658044099346,655.476547166447,652.5821295450629,649.8711435413123,647.3327083298853,644.956470872487,642.7326007889876,640.6517808197792,638.7051939546654,636.8845080975117,635.1818589687213,633.5898318096126,632.1014423411674,630.710117337669,629.4096751007451,628.194306057963,628.1943031439511,627.1284575109181,626.1282823495502,625.1897893276072,624.3092246341412,623.4830562544273,622.7079617787256,621.9808167481551,621.2986835354186,620.6588007537389,620.0585731839323,619.4955622069072,618.96747672688,618.4721645691416,618.0076043351905,617.5718976973903,617.1632621149306,616.7800239527468,616.4206119851028,616.0835512657546
cold_side---temperature (C),156.83528919955842,155.89907643043148,155.01996975732754,154.19492766317137,153.42099698102516,152.6953247594467,152.01516646592592,151.37789125959347,150.78098492762615,150.22205096964768,149.69881022492393,149.20909936439676,148.7508685099972,148.32217819489216,147.92119583836023,147.54619187599906,147.19553565890232,146.86769121325216,146.56121293338475,146.2747412663354,146.27474057948098,146.02347736721958,145.78766627057644,145.5663722665435,145.35871488522213,145.16386530533282,144.9810435636162,144.8095158804103,144.64859210211705,144.49762326016588,144.3559992450111,144.22314659314173,144.09852638431772,143.98163224593935,143.87198846107378,143.76914817646804,143.67269170667845,143.58222493044195,143.49737777525058,143.41780278626578
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),2.60048605710667,2.6007980328004163,2.6010877456300108,2.6013567937047735,2.6016066790290466,2.6018387776514027,2.6020544699888215,2.6022548867309507,2.6024411651200494,2.602614306249656,2.6027752886431994,2.602924993991061,2.6030642450101125,2.603193758847361,2.603314271579583,2.603426435555731,2.6035308441512477,2.6036280172067046,2.603718478931082,2.603802701112462,2.603802728779047,2.6038763379127863,2.603945276490128,2.604009717063194,2.6040700557009924,2.6041265064555223,2.6041793634662675,2.604228813846711,2.6042751670257642,2.604318509643523,2.6043591460324227,2.604397172297443,2.604432792297632,2.6044661356290977,2.6044974003263444,2.60452664245061,2.604554051299582,2.604579732443124,2.604603805284393,2.604626348454736
