,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
hot_side---enthalpy (kJ / kg),600.7428490906043,591.2106095476965,582.1876771094156,573.647442047328,565.5646059029915,557.9151278826749,550.6761717603697,543.8260536012998,537.3441905525264,531.211050889752,525.4081054650791,519.9177806609335,514.7234129239946,509.80920492671316,505.1601833824966,500.7621585230711,496.6016852322534,492.66602581889794,488.94311440263004,485.4215228787415,485.42147573802276,482.2613779567641,479.2635392470881,476.4196660250487,473.7218844103367,471.1627194685508,468.735075422374,466.4322167937848,464.24775043989166,462.1756084455808,460.2100318369558,458.34555508037766,456.5769913328929,454.89941841081446,453.30816544430036,451.798800186834,450.3671169496156,449.0091251319598,447.7210383199375,446.4992639265227
hot_side---temperature (C),142.69801115014587,140.47407468245927,138.36649072842602,136.36950412053352,134.47759816845382,132.68549180535928,130.9881354628431,129.38070594749007,127.85860055827044,126.41743062898274,125.05301465986275,123.761371168354,122.53871136763223,121.38143176167233,120.28610672921917,119.24948115518481,118.26846315648578,117.3401169394844,116.46165581835328,115.630435416598,115.63042428802174,114.88431456611795,114.17632944842268,113.50454081669841,112.86711576314707,112.2623121662341,111.68847443653135,111.14402943106694,110.62748253381278,110.13741389923177,109.67247485527514,109.23138446175295,108.81292621974632,108.41594492743917,108.03934367758671,107.68208099177872,107.3431680865711,107.0216662665585,106.71668443945089,106.42737674837645
hot_side---vapor mass fraction (-),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_side---differ number (),3.082517503637924,4.167687405608806,4.1701250291404035,4.172367322720074,4.174432189965968,4.176335808528332,4.1780924136837445,4.179714691560221,4.181214673790302,4.1826029880081705,4.183888889518787,4.185080723139458,4.1861866964545635,4.1872135206818175,4.188168255399427,4.189055854188062,4.189882075552264,4.190651690975173,4.191368917730049,4.1920381499094965,4.19203828186423,4.192630821952951,4.193186182476149,4.193707245325185,4.194195815640808,4.19465455363043,4.195085351524921,4.19549013586338,4.195870350230583,4.196228448984564,4.196564967861535,4.19688169880677,4.1971798927511355,4.1974606713098614,4.197725306526571,4.197974679858881,4.198209862779221,4.1984316575723675,4.1986404891325595,4.19883779312729
cold_side---pressure (bar),3.7,3.7013157894736843,3.7026315789473685,3.7039473684210527,3.7052631578947373,3.706578947368421,3.707894736842105,3.7092105263157893,3.7105263157894735,3.711842105263158,3.713157894736842,3.7144736842105264,3.7157894736842105,3.717105263157895,3.7184210526315793,3.719736842105263,3.721052631578947,3.7223684210526313,3.723684210526316,3.725,3.725,3.7263157894736842,3.7276315789473684,3.728947368421053,3.730263157894737,3.731578947368421,3.732894736842105,3.734210526315789,3.735526315789474,3.736842105263158,3.738157894736842,3.7394736842105263,3.740789473684211,3.742105263157895,3.743421052631579,3.744736842105263,3.746052631578947,3.7473684210526312,3.748684210526316,3.75
cold_side---enthalpy (kJ / kg),434.92190359122515,434.33279129572844,433.77515524211265,433.24735089363173,432.7478147527616,432.2750610482816,431.8276784537701,431.4043268568082,431.0037341941323,430.62469336442217,430.2660592276715,429.9267456976418,429.6057229319646,429.3020146228316,429.01469538988545,428.74288827583575,428.4857623444454,428.24253037982066,428.01244668537555,427.79480498039095,427.79480206699617,427.59950142966625,427.4142287415601,427.23847144188295,427.07174290840055,426.9135811745683,426.76354770654075,426.6212262377205,426.4862216585359,426.35815895917034,426.2366822230194,426.1214536686987,426.0121527384899,425.9084752311696,425.8101324772344,425.7168505546005,425.62836954292374,425.5444428147541,425.4648363618095,425.3893281547147
cold_side---temperature (C),103.68819233956532,103.54854863235761,103.41635955807777,103.29123620176563,103.17280875093547,103.06072572203351,102.95465319316958,102.85427404767694,102.75928723238724,102.66940703335177,102.58436237129257,102.50389611840342,102.42776443763336,102.35573614523048,102.28759209702366,102.22312459852299,102.16213683893301,102.10444234877309,102.04986448082036,101.99823591382676,101.99823522302125,101.9519033194515,101.90794861709804,101.86624966668631,101.82669115917975,101.78916362269626,101.75356313350989,101.71979104057391,101.68775370308015,101.65736224043724,101.62853229428208,101.60118380184957,101.57524078037056,101.55063112188094,101.52728639806713,101.5051416746636,101.48413533496665,101.46420891201495,101.44530692914975,101.42737674837838
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),2.136003536499085,2.136009126968053,2.1360144135788204,2.136019373986474,2.136024089741792,2.136028522515909,2.136032709495979,2.136036678083064,2.1360404199589853,2.1360439682333583,2.136047300724371,2.1360504632635617,2.136053447043446,2.1360562678848742,2.136058939488378,2.1360614543512857,2.136063834655409,2.1360660848044892,2.1360682069188477,2.136070213394202,2.1360702207337723,2.136072020559454,2.1360737368771385,2.136075350767045,2.1360768920767588,2.136078347758155,2.1360797336320854,2.136081041543471,2.1360822876393666,2.1360834735507876,2.1360845800317505,2.1360856565020265,2.1360866465284776,2.1360876145362186,2.1360885093113606,2.136089377990253,2.1360901866477726,2.1360909600753564,2.1360917030029483,2.136092394227347
