,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
hot_side---enthalpy (kJ / kg),3346.277112282879,3334.0785754292647,3322.2145762379746,3310.6758981265702,3299.4535509228267,3288.538767512526,3277.9230004070955,3267.5979182392516,3257.55540219463,3247.787542387178,3238.2866341858794,3229.0451745001365,3220.05585803088,3211.311573494227,3202.8053998242312,3194.5306023609915,3186.4806290301176,3178.6491065192695,3171.029836457199,3163.616791600472,3163.61660274139,3156.59348463795,3149.754680456993,3143.0950914211967,3136.6097590859567,3130.2938620391988,3124.142712634469,3118.1517537598106,3112.316555644724,3106.632812707348,3101.096340443822,3095.703072361618,3090.449056958461,3085.3304547483112,3080.343535335721,3075.484674539725,3070.750351568291,3066.137146244213,3061.641736283198,3057.26089462477
hot_side---temperature (C),445.48634147196924,439.9532284157506,434.57239651814245,429.3400903242027,424.2526114208165,419.30631966633644,414.4976342878133,409.8230348488016,405.27906209115247,400.86231865452226,396.56946967760814,392.39724328528837,388.34243096613136,384.4018878445844,380.5725328525526,376.85134880484725,373.2353823831322,369.7217440329199,366.3076077781602,362.9902109579011,362.9901264988074,359.85142731436133,356.7992742991478,353.8312967387535,350.94517924377783,348.13866120735895,345.40953622048346,342.7556514481562,340.17490696940365,337.66525508403197,335.22469958894055,332.85129502673396,330.5431459092654,328.29840591867764,326.11527708840595,323.9920089665376,321.9268977638079,319.91828548846183,317.9645590700941,316.06414947450185
hot_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_side---differ number (),3.0951446053963982,3.095082964023576,3.0949251969681266,3.094673310679723,3.0943293939520737,3.0938956014541166,3.093374126282006,3.0927672425035317,3.0920772996685155,3.0913066596783856,3.090457764033804,3.0895330871730478,3.08853514196161,3.0874664796922007,3.0863296777331417,3.0851273367835645,3.0838620849906135,3.082536560108235,3.0811534122419832,3.0797153038490164,3.079715270911402,3.0782652034196314,3.0767679637745347,3.0752259921043734,3.0736417052065996,3.0720175075270593,3.0703557801807886,3.068658893303619,3.0669291868385686,3.0651689650462397,3.0633804910152174,3.061566016854882,3.0597277246821823,3.05786777740046,3.055988270665426,3.054091282291586,3.05217881323901,3.0502528191785485,3.0483152146090347,3.04636783991967
cold_side---pressure (bar),193.0,193.0013157894737,193.0026315789474,193.00394736842108,193.00526315789472,193.0065789473684,193.0078947368421,193.0092105263158,193.0105263157895,193.01184210526318,193.01315789473682,193.01447368421051,193.0157894736842,193.0171052631579,193.0184210526316,193.0197368421053,193.02105263157893,193.02236842105262,193.0236842105263,193.025,193.025,193.0263157894737,193.0276315789474,193.02894736842106,193.03026315789472,193.03157894736842,193.0328947368421,193.0342105263158,193.0355263157895,193.03684210526316,193.03815789473683,193.03947368421052,193.0407894736842,193.0421052631579,193.0434210526316,193.04473684210527,193.04605263157893,193.04736842105262,193.04868421052632,193.05
cold_side---enthalpy (kJ / kg),1103.0178073337183,1101.7535004546703,1100.5238664444141,1099.3279500581757,1098.1648195172736,1097.0335661616818,1095.9333040942856,1094.8631698176757,1093.8223218643082,1092.8099404208338,1091.8252269473858,1090.8674037925814,1089.93571380497,1089.0294199416394,1088.1478048746515,1087.290170595963,1086.4558380214494,1085.6441465946245,1084.8544538906224,1084.086135220972,1084.0861156468343,1083.3582106007539,1082.6494086129248,1081.9591812249496,1081.2870145230943,1080.6324087962437,1079.9948781973055,1079.3739504083242,1078.7691663095388,1078.1800796526145,1077.6062567382407,1077.0472760982914,1076.5027281827054,1075.9722150512484,1075.4553500702875,1074.9517576146975,1074.4610727750116,1073.9829410698994,1073.5170181640578,1073.0629695915743
cold_side---temperature (C),253.49089416042057,253.22314275301153,252.96261069151922,252.70910604105518,252.4624411473735,252.22243260504013,251.98890122149714,251.76167197730115,251.54057398283942,251.32544043181372,251.11610855175263,250.91241955181079,250.71421856812879,250.52135460697252,250.33368048588898,250.15105277310408,249.97333172537003,249.80038122445637,249.6320687124903,249.46826512630673,249.46826095265885,249.31303094986436,249.16183519021888,249.01456411069978,248.8711110493266,248.73137218426734,248.59524647299565,248.46263559156773,248.3334438741307,248.20757825272767,248.08494819747614,247.96546565720325,247.84904500059076,247.73560295789468,247.62505856328812,247.5173330979003,247.4123500335644,247.3100349773424,247.21031561686016,247.11312166646792
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),2.052980495514604,2.053005995678123,2.0530307328594075,2.053054730812752,2.053078014145897,2.05310060575969,2.053122526563599,2.053143799031746,2.0531644446425656,2.0531844841632836,2.053203932671477,2.053222814917128,2.0532411432752284,2.053258940219901,2.0532762209709623,2.0532930008904713,2.0533092976163467,2.0533251225278906,2.0533404961078485,2.0533554270329377,2.0533554283131092,2.053369552730132,2.0533832869793187,2.0533966427244557,2.0534096307758793,2.0534222620861686,2.053434547181179,2.0534464977246945,2.053458122962399,2.0534694318554934,2.0534804364944863,2.0534911435647185,2.0535015613161836,2.0535116998480127,2.0535215685481307,2.0535311719682587,2.053540521060975,2.0535496227961025,2.0535584827210513,2.0535671097970223
