,pr,pr_unit,dp,dp_unit,zeta,zeta_unit
valve_25_30,0.1885245901639344,-,0.198,bar,24.95807629908176,(Pa*s)/(m^3*s)
valve_26_27,0.04000000000000001,-,1.1039999999999999,bar,136993.22262555955,(Pa*s)/(m^3*s)
valve_34_35,0.2121739130434783,-,0.9059999999999998,bar,34062.598776828476,(Pa*s)/(m^3*s)
valve_3_4,0.006020942408376963,-,189.85,bar,226675464308.51202,(Pa*s)/(m^3*s)
valve_42_43,0.33430232558139533,-,2.29,bar,372557.36910199875,(Pa*s)/(m^3*s)
valve_47_48,0.12777777777777777,-,7.85,bar,2612977282.078872,(Pa*s)/(m^3*s)
valve_49_50,0.4388286801175949,-,5.050541878941646,bar,21322.752449999258,(Pa*s)/(m^3*s)
valve_51_53,0.20326598667310108,-,15.480541878941645,bar,41499.985226495664,(Pa*s)/(m^3*s)
valve_58_60,0.5067814293166406,-,18.91,bar,158735.11989528086,(Pa*s)/(m^3*s)
valve_5_6,0.029994783515910273,-,37.19,bar,39578538525.545944,(Pa*s)/(m^3*s)
