,m,m_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,Td_dew,Td_dew_unit,v,v_unit,vol,vol_unit,x,x_unit,s,s_unit,phase,Water
c1,530.3209559932236,kg / s,35.14,bar,3678.7465892965824,kJ / kg,600.0000000000001,C,357.21305989671043,K,-357.21305989671043,K,59.81743032514492,m^3 / s,0.11279477012767578,m^3 / kg,-1.0,-,7433.70731899718,J / kgK,state not recognised,1
c10,52.89452130940823,kg / s,19.43,bar,3458.3991256315408,kJ / kg,495.24995049483925,C,284.3300606093977,K,-284.3300606093977,K,9.507211660788878,m^3 / s,0.1797390622967572,m^3 / kg,-1.0,-,7434.091210597808,J / kgK,state not recognised,1
c11,470.03678537575877,kg / s,9.0,bar,3212.1279670155545,kJ / kg,374.5537584239322,C,199.2033084151065,K,-199.2033084151065,K,153.98464208355242,m^3 / s,0.32760125776209914,m^3 / kg,-1.0,-,7435.648450507748,J / kgK,state not recognised,1
c12,7.389649308056652,kg / s,9.0,bar,3212.1279670155545,kJ / kg,374.5537584239322,C,199.2033084151065,K,-199.2033084151065,K,2.4208584077401847,m^3 / s,0.32760125776209914,m^3 / kg,-1.0,-,7435.648450507748,J / kgK,state not recognised,1
c13,443.100839422325,kg / s,3.44,bar,2957.86903972844,kJ / kg,245.83431645261544,C,107.58347314827927,K,-107.58347314827927,K,304.71482535943795,m^3 / s,0.6876873123433883,m^3 / kg,1.0,-,7436.390079049205,J / kgK,g,1
c14,26.935945953433745,kg / s,3.44,bar,2957.86903972844,kJ / kg,245.83431645261544,C,107.58347314827927,K,-107.58347314827927,K,18.52350827814362,m^3 / s,0.6876873123433883,m^3 / kg,1.0,-,7436.390079049205,J / kgK,g,1
c15,412.5884401004375,kg / s,1.15,bar,2730.012762085004,kJ / kg,127.35208844486198,C,23.79185397375744,K,-23.79185397375744,K,654.926620968353,m^3 / s,1.587360568824765,m^3 / kg,1.0,-,7437.734653120356,J / kgK,g,1
c16,30.5123993218875,kg / s,1.15,bar,2730.012762085004,kJ / kg,127.35208844486198,C,23.79185397375744,K,-23.79185397375744,K,48.434179543799715,m^3 / s,1.587360568824765,m^3 / kg,1.0,-,7437.734653120356,J / kgK,g,1
c17,393.1729727041924,kg / s,0.244,bar,2481.9428044229735,kJ / kg,64.4208428428471,C,0.0,K,0.0,K,2352.102849145094,m^3 / s,5.982361485754317,m^3 / kg,0.9426620584183839,-,7439.921183629892,J / kgK,tp,1
c18,19.41546739624512,kg / s,0.244,bar,2481.9428044229735,kJ / kg,64.4208428428471,C,0.0,K,0.0,K,116.15034437921545,m^3 / s,5.982361485754317,m^3 / kg,0.9426620584183839,-,7439.921183629892,J / kgK,tp,1
c19,393.1729727041924,kg / s,0.046,bar,2258.9929114497613,kJ / kg,31.398329021684617,C,0.0,K,0.0,K,10510.996502226797,m^3 / s,26.733771728848843,m^3 / kg,0.8767461022244257,-,7441.462618049401,J / kgK,tp,1
c2,580.486,kg / s,191.0,bar,3547.061521566152,kJ / kg,599.999999998664,C,238.09017036880073,K,-238.09017036880073,K,11.109030752847575,m^3 / s,0.01913746542181478,m^3 / kg,-1.0,-,6535.927298525109,J / kgK,state not recognised,1
c20,12661.853268091367,kg / s,2.95,bar,108.5504433276887,kJ / kg,25.82547858032376,C,-107.12474282091387,K,107.12474282091387,K,12.700974699393115,m^3 / s,0.001003089708155151,m^3 / kg,0.0,-,378.7083292470671,J / kgK,l,1
c21,12661.853268091367,kg / s,3.0,bar,42.312658505312875,kJ / kg,10.0,C,-123.52242046094301,K,123.52242046094301,K,12.664419021806504,m^3 / s,0.0010002026365067429,m^3 / kg,0.0,-,151.05947575368322,J / kgK,l,1
c22,470.0707853757587,kg / s,0.046,bar,131.5792472182116,kJ / kg,31.398329021684617,C,0.0,K,0.0,K,0.47234957151981555,m^3 / s,0.0010048477510514406,m^3 / kg,0.0,-,455.9911460319521,J / kgK,tp,1
c23,470.0707853757587,kg / s,4.3,bar,132.11356644833504,kJ / kg,31.433744324195743,C,-114.80003603894818,K,114.80003603894818,K,0.47226514746018683,m^3 / s,0.0010046681524414967,m^3 / kg,0.0,-,456.3421215037628,J / kgK,l,1
c24,76.89781267156631,kg / s,0.046,bar,160.85911368793802,kJ / kg,31.398329021684617,C,0.0,K,0.0,K,28.37001298529958,m^3 / s,0.36893133887265506,m^3 / kg,0.012066768787186946,-,552.1330837131856,J / kgK,tp,1
c25,76.17488010751113,kg / s,0.046,bar,158.26506119773265,kJ / kg,31.398329021684617,C,0.0,K,0.0,K,25.620267423841714,m^3 / s,0.3363348572085965,m^3 / kg,0.010997712285392484,-,543.6153798120071,J / kgK,tp,1
c26,0.7229325640551575,kg / s,0.046,bar,434.1925437450606,kJ / kg,31.398329021684674,C,5.684341886080802e-14,K,-5.684341886080802e-14,K,2.7497455614478294,m^3 / s,3.8035989775085475,m^3 / kg,0.12471247725441051,-,1449.637367959848,J / kgK,tp,1
c27,0.7229325640551575,kg / s,1.15,bar,434.1925437450606,kJ / kg,103.56023447110454,C,0.0,K,0.0,K,0.0007563912525267495,m^3 / s,0.001046281894239086,m^3 / kg,0.0,-,1347.2513784492971,J / kgK,tp,1
c28,0.7229325640551575,kg / s,1.15,bar,2754.19421686941,kJ / kg,139.35265540342778,C,35.79242093232324,K,-35.79242093232324,K,1.1838649526115448,m^3 / s,1.6375869776440442,m^3 / kg,1.0,-,7497.226878658566,J / kgK,g,1
c29,470.0707853757587,kg / s,4.249893691801567,bar,135.68154251756204,kJ / kg,32.28869051815667,C,-113.51705069719827,K,113.51705069719827,K,0.4723953458419811,m^3 / s,0.0010049451285605087,m^3 / kg,0.0,-,468.0564878359209,J / kgK,l,1
c3,0.008,kg / s,191.0,bar,3547.061521566152,kJ / kg,599.999999998664,C,238.09017036880073,K,-238.09017036880073,K,0.00015309972337451824,m^3 / s,0.01913746542181478,m^3 / kg,-1.0,-,6535.927298525109,J / kgK,state not recognised,1
c30,76.17488010751113,kg / s,0.244,bar,158.26506119773265,kJ / kg,37.77892014549133,C,-26.641922697355767,K,26.641922697355767,K,0.07671082492697469,m^3 / s,0.0010070357159565875,m^3 / kg,0.0,-,542.6453871873924,J / kgK,l,1
c31,76.17488010751113,kg / s,0.244,bar,269.69034458965336,kJ / kg,64.4208428428471,C,0.0,K,0.0,K,0.07766363154483351,m^3 / s,0.0010195438632160786,m^3 / kg,0.0,-,886.4746797705432,J / kgK,tp,1
