,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046
hot_side---enthalpy (kJ / kg),1915.7639664490569,1893.535765636656,1870.520091774907,1846.6890658378734,1822.0138232520937,1796.4644792119875,1770.010092792098,1742.618629817166,1714.256924448527,1684.8906394456683,1654.4842250611669,1623.0008765238097,1590.4024900664774,1556.6496174538056,1521.7014189624115,1485.5156147680627,1448.0484346915791,1409.254566256444,1369.0871010091134,1327.497479054772,1327.4974767553656,1282.8550248503116,1236.5742811944397,1188.5952512626297,1138.8557581625396,1087.2913651247704,1033.8352954992283,978.4183502246034,920.9688227263706,861.412411229489,799.6721284667782,735.6682087816255,669.3180126403671,600.5359285878898,529.2332727033518,455.3181856432203,378.69552739136253,299.2667698820511,216.92988771156698,131.5792472182116
hot_side---temperature (C),31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617,31.398329021684617
hot_side---vapor mass fraction (-),0.7352951729766495,0.726134524650752,0.7166493442706374,0.7068281423795372,0.6966590233585126,0.6861296711322988,0.6752273343793032,0.663938811229683,0.6522504334343969,0.6401480499882664,0.6276170101898255,0.6146421461193385,0.6012077545170851,0.5872975780433777,0.5728947859008523,0.5579819538002314,0.5425410432496905,0.526553380148449,0.509999632664387,0.49285978837621586,0.4928597874285884,0.4744618160516228,0.45538867466377236,0.43561563842334844,0.41511708309519374,0.3938664531074605,0.37183622858064724,0.3489978913152609,0.32532188971972514,0.3007776026728399,0.2753333023129505,0.24895611575327287,0.22161198572969945,0.1932656301949073,0.1638805008822218,0.1334187408751675,0.10184114123205515,0.06910709673395686,0.035174560844957944,0.0
hot_side---differ number (),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9999999569214857,2.0,2.0,2.0,20.130966391095754
cold_side---pressure (bar),2.95,2.9513157894736843,2.9526315789473685,2.9539473684210527,2.9552631578947373,2.956578947368421,2.957894736842105,2.9592105263157893,2.9605263157894735,2.961842105263158,2.963157894736842,2.9644736842105264,2.9657894736842105,2.967105263157895,2.9684210526315793,2.969736842105263,2.971052631578947,2.9723684210526313,2.973684210526316,2.975,2.975,2.9763157894736842,2.9776315789473684,2.978947368421053,2.980263157894737,2.981578947368421,2.982894736842105,2.984210526315789,2.985526315789474,2.986842105263158,2.988157894736842,2.9894736842105263,2.990789473684211,2.992105263157895,2.993421052631579,2.994736842105263,2.996052631578947,2.9973684210526312,2.998684210526316,3.0
cold_side---enthalpy (kJ / kg),108.5504433276887,107.72522228048963,106.87076632849964,105.9860404640196,105.0699730909388,104.1214547370708,103.13933672182186,102.12242977774399,101.0695026244315,99.97928049323293,98.85044360122733,97.68162557278677,96.47141180711337,95.21833779008062,93.9208873486261,92.57749084600219,91.18652331609474,89.74630253506395,88.25508702848808,86.71107401225565,86.71107392688545,85.0537247234326,83.33555400565035,81.55433447924428,79.70775782962592,77.7934318443634,75.80887744304962,73.75152561336007,71.61871425164452,69.40768490753958,67.11557943189591,64.73943652796997,62.276188206450094,59.7226561455622,57.07554795836754,54.33145337048964,51.48684031271579,48.538050934630476,45.48129754728807,42.312658505312875
cold_side---temperature (C),25.82547858032376,25.628050566799118,25.42363297983536,25.21197873200515,24.992832040077644,24.76592812337327,24.530992892338134,24.287742626712372,24.035883643378952,23.77511195373654,23.505112909742422,23.22556083906818,22.93611866897868,22.636437538372206,22.326156398384683,22.004901600905953,21.672286475306862,21.327910892878947,20.971360819427673,20.602207855647634,20.602207835222202,20.2059833207353,19.79524585333172,19.369467109370646,18.92809994577749,18.47057778692323,17.996313999401536,17.504701258511204,16.995110903559237,16.466892289697455,15.919372134991079,15.351853867148463,14.763616974099136,14.153916362981022,13.521981733393545,12.867016972511522,12.18819958021902,11.484680135825727,10.755581818857706,10.0
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),3.3460296305150425,3.3460069222235913,3.3459819813259797,3.3459552124420924,3.3459277718572116,3.3458979163473295,3.345865842624881,3.3458332555309576,3.34579631517488,3.345757834704381,3.3457173855102558,3.345673398690897,3.3456272992119835,3.3455769968039957,3.345523548596354,3.345466967383363,3.3454054155830186,3.345340084664941,3.3452695096812475,3.3451949284809137,3.345194095251824,3.345110095843985,3.345019705680978,3.344921247109606,3.344815249494223,3.3447022837806752,3.344578227004291,3.344444635272372,3.3443000308427324,3.3441431262884675,3.343972325520074,3.343787071985299,3.3435862349874697,3.3433664624187704,3.3431270649860387,3.342865200754356,3.342579731030609,3.342267122987428,3.341924040509878,3.3415475808900927
