,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43
hot_side---enthalpy (kJ / kg),2101.6426835762486,2094.4396674721434,2086.773662538029,2078.6147629498137,2069.9311121448327,2060.68877315791,2050.85159003977,2040.381039709334,2029.2360735405516,2017.3729479291485,2004.745043024766,1991.302668748911,1976.9928571485448,1961.7591400584918,1945.5413109626854,1928.2751698540023,1909.8922497945296,1890.3195237719626,1869.4790903327528,1847.2878363480502,1847.2878210626682,1822.0163372216634,1794.9884576996571,1766.0801234954765,1735.1582545329684,1702.080062267574,1666.692306594539,1628.8304923095243,1588.3179999798178,1544.965145669977,1498.568163532346,1448.9081048244193,1395.7496464575927,1338.8398017237855,1277.9065253994622,1212.6572050058342,1142.7770296296214,1067.927227405678,987.7431625621591,901.8322828677568
hot_side---temperature (C),210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544148,210.9198898854416,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153,210.91988988544153
hot_side---vapor mass fraction (-),0.6328634645301806,0.6290640927927634,0.6250205085407483,0.62071693736225,0.6161365758901661,0.611261523408397,0.6060727087542752,0.6005498121751619,0.5946711817703227,0.5884137441200442,0.581752908672355,0.5746624654234005,0.56711447539028,0.5590791533347366,0.5505247421522116,0.5414173782931754,0.5317209475319905,0.5213969303425853,0.5104042360795078,0.4986990250972268,0.49869901703465297,0.485369078564381,0.47111269483650137,0.4558644285042118,0.4395540838782564,0.42210634434781785,0.40344038042221786,0.3834694258883485,0.3621003193716934,0.3392330083702246,0.31476001260187064,0.28856584326968926,0.26052637460760103,0.23050816382792758,0.19836771535622347,0.16395068501695728,0.12709101963611721,0.08761002736694563,0.045315373939190204,0.0
hot_side---differ number (),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9999999826434116,2.000000017356588,1.9999999826434116,2.0,2.0,1.9999999826434116,2.0,8.700933921640152
cold_side---pressure (bar),193.09967486857585,193.10098691075848,193.10229895294108,193.1036109951237,193.1049230373063,193.1062350794889,193.1075471216715,193.10885916385413,193.11017120603674,193.11148324821934,193.11279529040195,193.11410733258455,193.11541937476716,193.1167314169498,193.1180434591324,193.119355501315,193.1206675434976,193.1219795856802,193.1232916278628,193.12460367004545,193.12460367004545,193.12591571222802,193.12722775441063,193.12853979659323,193.12985183877583,193.13116388095844,193.13247592314104,193.13378796532368,193.13510000750628,193.1364120496889,193.1377240918715,193.1390361340541,193.1403481762367,193.14166021841933,193.14297226060194,193.14428430278454,193.14559634496715,193.14690838714975,193.14822042933235,193.149532471515
cold_side---enthalpy (kJ / kg),888.3854449690508,887.1091245616784,885.7507660075651,884.3050702190735,882.7663924523284,881.1287193317395,879.3856442943833,877.530341339342,875.5555369580795,873.4534801121388,871.2159101138382,868.8340222541076,866.2984310091024,863.5991306436497,860.7254530148493,857.6660223631499,854.4087068608801,850.9405666694021,847.2477982356636,843.3156745368539,843.315671951917,838.8377546344097,834.0486171809646,828.9262772674234,823.4471541028297,817.5859466284705,811.3155018475875,804.6066724442259,797.4281627801349,789.7463622852066,781.5251651801492,772.7257753906256,763.3064954310307,753.2224979549242,742.4255785899277,730.8638886003545,718.481645854487,705.2188225197232,691.0108078732576,675.7880446051332
cold_side---temperature (C),206.4377663572044,206.1496685522987,205.84296165422165,205.51643180323362,205.1687844553677,204.7986388333632,204.40452197408956,203.98486234079462,203.53798296578367,203.06209408626006,202.55528523283783,202.01551672680233,201.44061053843035,200.82824045461302,200.17592149961723,199.48099854806065,198.74063406405213,197.9517948948855,197.11123804177396,196.21549532377685,196.2154947346981,195.1945450187718,194.1016164048507,192.93149127213667,191.67855619816413,190.33677002544624,188.89962920280658,187.36013017146695,185.71072855162026,183.9432948716352,182.0490665702265,180.01859599251583,177.8416940953514,175.50736957685308,173.00376315206302,170.31807671289,167.436497139374,164.34411457367673,161.02483503196243,157.46128731611424
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),4.442066283033828,4.442775714128145,4.44352850916927,4.444327251541266,4.445174555382774,4.446073222435319,4.447026349684323,4.44803667736217,4.4491076284527455,4.450242533676219,4.451444819091934,4.4527180553057235,4.454066197355574,4.455493141845782,4.45700296990808,4.458599990258035,4.460288213291859,4.462072479779221,4.463957070756568,4.465946986917343,4.465946983841887,4.468191677029714,4.470567520015249,4.473080525317356,4.475736290268177,4.478540968857611,4.481499958513077,4.484618979585008,4.487903008163185,4.491356851187244,4.494984912711924,4.498790342005419,4.5027759777147445,4.506943237625678,4.51129240775574,4.515822070319155,4.520528925350322,4.525407541591791,4.530449692195499,4.535644320892737
