,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34
hot_side---enthalpy (kJ / kg),3053.1455387852993,2848.0192861729997,2800.9196809671225,2781.3925544064273,2761.01598736055,2739.7525346831017,2717.5630588457298,2694.406650025738,2670.2405421534677,2645.0200246962863,2618.6983499425223,2591.2266355344805,2562.5537619844545,2532.6262648914976,2501.388221559679,2468.781131700253,2434.743791880933,2399.212163364956,2362.1192329609307,2323.3948664813875,2323.3948276542183,2281.1017375848087,2236.856617162893,2190.566954342224,2142.1356486654345,2091.460767563629,2038.4352885946275,1982.946826752418,1924.8773459272516,1864.1028535400894,1800.4930773168928,1733.9111231075585,1664.2131125914266,1591.2477996462446,1514.8561640907965,1434.8709814432075,1351.1163672680934,1263.4072946165743,1171.549082994824,1075.336857230229
hot_side---temperature (C),332.4399786668463,260.6011799706595,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072052,247.85279366072064,247.85279366072064,247.85279366072052,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064,247.85279366072064
hot_side---vapor mass fraction (-),,,0.9996328042548129,0.9883207095732989,0.9765165327021789,0.9641985816101148,0.9513441838662725,0.9379296403469586,0.9239301766017369,0.909319891749757,0.894071704769194,0.8781572980344727,0.8615470579471347,0.8442100124968481,0.8261137655791864,0.8072244278862094,0.7875065441747352,0.7669230167053044,0.7454350246322808,0.7230019391121626,0.7230019166195232,0.6985014639926654,0.672870197157168,0.6460545237412566,0.6179981932994828,0.5886421561367015,0.5579244139862849,0.5257798620400658,0.4921401217967235,0.45693336416304603,0.42008412220877495,0.3815130929405846,0.3411369274243209,0.29886800854694834,0.2546142156710243,0.20827867539501974,0.15975949759291444,0.10894949586645096,0.0557358915038226,0.0
hot_side---differ number (),36.668931776350504,27.909387485110347,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9999999498137426,1.9999999498137426,2.0,2.0,2.0,2.0,2.0,1.9999999498137426,1.9999999498137426,2.0,2.0,11.106200644662367
cold_side---pressure (bar),193.0498016260596,193.05111018654904,193.0524187470385,193.05372730752796,193.0550358680174,193.05634442850686,193.05765298899632,193.0589615494858,193.06027010997522,193.06157867046468,193.06288723095415,193.06419579144358,193.06550435193304,193.0668129124225,193.06812147291194,193.0694300334014,193.07073859389087,193.0720471543803,193.07335571486976,193.07466427535923,193.07466427535923,193.07597283584866,193.07728139633812,193.07858995682759,193.07989851731702,193.08120707780648,193.08251563829594,193.08382419878538,193.08513275927484,193.0864413197643,193.08774988025374,193.0890584407432,193.09036700123266,193.0916755617221,193.09298412221156,193.09429268270102,193.09560124319046,193.09690980367992,193.09821836416938,193.09952692465882
cold_side---enthalpy (kJ / kg),1059.265019296032,1041.5445657162834,1037.47572344453,1035.7888133812985,1034.0285218249876,1032.1916139630375,1030.2747087813382,1028.2742721607563,1026.1866096246345,1024.0078587179821,1021.733980997918,1019.3607536136889,1016.8837604532787,1014.2983828322281,1011.5997896988083,1008.7829273281162,1005.842508475994,1002.7730009619056,999.568615648029,996.2232937798286,996.223290425643,992.5696735444551,988.7474245998071,984.74855165795,980.5646664013209,976.1869630757446,971.6061962229027,966.8126571231317,961.7961488690303,956.5459599855284,951.0508365070536,945.298952417183,939.2778783507332,932.9745484526302,926.3752252821339,919.4654626451044,912.2300662310479,904.6530519257084,896.7176016640661,888.4060166828485
cold_side---temperature (C),244.15227241311095,240.3291959796934,239.44818824422816,239.08258339803808,238.7008619112779,238.30229537146948,237.88612097131642,237.45153976975416,236.99771485695885,236.52376941749537,236.028784685488,235.5117977852692,234.9717994505528,234.40773161479274,233.8184848648628,233.2028957497667,232.55974393556164,231.88774919715075,231.1855682370213,230.45179132046388,230.4517905843873,229.64956581904505,228.80939894539688,227.929414270468,227.00763691153094,226.04198709557926,225.03027410722837,223.97018986326384,222.8593020909741,221.69504708627807,220.47472202659424,219.19547681233166,217.85430540993383,216.44803666849032,214.97332458121093,213.42663796241163,211.80424951038492,210.10222422638907,208.3164071603403,206.4424104545426
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),3.6405770450085146,3.6503466558734523,3.652539924956537,3.6534440267979384,3.6543840135073062,3.6553613851649,3.656377262495424,3.6574330415273284,3.6585302396828414,3.65967016194508,3.660854364755703,3.6620843893821444,3.6633616643690456,3.6646878805583194,3.666064551036701,3.6674933081169616,3.6689758491442497,3.67051376524416,3.6721088144587326,3.6737627851784507,3.6737627721719743,3.6755559035165533,3.677417290680731,3.6793488434487704,3.681352553979283,3.683430440443833,3.6855844039556986,3.6878164995381275,3.6901284418782376,3.6925221906184507,3.6949994366006784,3.697561885841055,3.700211224846001,3.7029487716051093,3.7057759850114658,3.708694048654409,3.71170379928391,3.714806099662894,3.7180015415860304,3.721290298473002
