,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43
hot_side---enthalpy (kJ / kg),901.8322828677568,881.5523150397925,862.6471924189927,845.0324493880083,828.6272578020872,813.3545833304535,799.1412567062697,785.9179795884838,773.6192806925862,762.1834346360861,751.5523533851423,741.6714581426309,732.4895378783592,723.9585993859506,716.0337126952166,708.6728548177169,701.8367541231385,695.4887370961579,689.5945787830404,684.1223578906419,684.1223449903299,679.3823510369476,674.9599051122705,670.8339605219553,666.9848335217195,663.3941197053541,660.0446148125393,656.9202398402113,654.0059703212445,651.2877696199064,648.7525260839425,646.3879938872774,644.1827373944229,642.1260788771674,640.2080494154541,638.4193428171488,636.7512723952926,635.1957304461363,633.7451502766058,632.3924706355833
hot_side---temperature (C),210.91988988544153,206.45590522523077,202.27117678950918,198.35268656725657,194.68714451957527,191.26122074442696,188.06172203349644,185.07572430885676,182.29067006169532,179.69443806569768,177.27539117958315,175.0224068966911,172.92489437883256,170.97280096964857,169.1566105990595,167.46733600318623,165.89650630703755,164.43615121007093,163.078782748516,161.81737542896946,161.81737245394885,160.7238259948537,159.7027755398911,158.74952394896206,157.85966254899955,157.02905584256416,156.25382662542648,155.53034158115548,154.85519740091257,154.2252074608258,153.63738907640646,153.0889513433424,152.57728356588746,152.0999442677204,151.65465077523487,151.23926935946088,150.85180591998568,150.4903971922542,150.1533024581688,149.8388957390144
hot_side---vapor mass fraction (-),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_side---differ number (),3.583515194650758,5.185928676743899,5.20273733185941,5.217725098419656,5.231120036617134,5.243117705718755,5.253885171310202,5.263567588332979,5.2722898130056315,5.280160516709204,5.287274450059792,5.29371394818867,5.299551654191882,5.304851003116765,5.309667846187917,5.314051607452951,5.318045935933838,5.321689345473491,5.325016096575624,5.328056848556079,5.328056893673468,5.330653731573138,5.33304589649355,5.335251156482359,5.337285208288963,5.339163100613005,5.340897396596214,5.342500388675994,5.343982642524267,5.345353895293648,5.346623125344326,5.347798601463019,5.348887649072886,5.349896810195167,5.350832507905261,5.351700582854107,5.352505616507365,5.353253187014804,5.353946883259551,5.354591208777233
cold_side---pressure (bar),193.14938611010146,193.15070410561398,193.15202210112645,193.153340096639,193.15465809215152,193.155976087664,193.1572940831765,193.15861207868903,193.15993007420153,193.16124806971405,193.16256606522657,193.16388406073906,193.1652020562516,193.1665200517641,193.16783804727658,193.1691560427891,193.17047403830162,193.1717920338141,193.17311002932664,193.17442802483916,193.17442802483916,193.17574602035165,193.17706401586418,193.17838201137667,193.1797000068892,193.18101800240171,193.18233599791418,193.1836539934267,193.18497198893922,193.18628998445172,193.18760797996424,193.18892597547676,193.19024397098926,193.19156196650178,193.1928799620143,193.19419795752677,193.1955159530393,193.1968339485518,193.1981519440643,193.19946993957683
cold_side---enthalpy (kJ / kg),676.0336313500817,672.4337518877771,669.0779200032156,665.9511422780766,663.0390709786392,660.3280318078035,657.8050365526103,655.4577841247717,653.2746527734804,651.2446856797405,649.3575716871536,647.6036225608808,645.9737478754639,644.4594283985534,643.0526886501932,641.7460691662305,640.5325988737025,639.4057678887798,638.3595009696722,637.3881317953792,637.3881295285705,636.546737321789,635.7617127895783,635.0293199515186,634.3460647632709,633.708680274686,633.1141125724678,632.5595074867579,632.0421980374557,631.5596925935528,631.1096637170536,630.6899376620154,630.2984844987222,629.93340883292,629.5929410902742,629.2754293367077,628.9793316059688,628.7032087066119,628.4457174815263,628.2056044941635
cold_side---temperature (C),157.51883696535003,156.67508396859864,155.88817299231658,155.15466418992287,154.47125736385544,153.8348000682572,153.242291986363,152.6908864156486,152.17788952724595,151.70075793290079,151.25709498605335,150.8446461576275,150.46129375797847,150.10505122035858,149.77405711632593,149.46656903673755,149.180957442705,148.915699566939,148.66937342674902,148.440651994569,148.44065146083807,148.24251093100753,148.05762546552677,147.8851188728862,147.72417138947623,147.57401626088284,147.43393649765898,147.30326180199359,147.18136566084627,147.0676626002554,146.96160559500242,146.8626836275102,146.77041938955892,146.68436712035066,146.6041105743762,146.5292611126581,146.4594559109707,146.3943562788275,146.33364608321563,146.27703027123147
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),2.6002559905221796,2.600539723729062,2.6008016862457795,2.6010435992251493,2.601267011267866,2.6014733857906664,2.6016640981140537,2.601840260725975,2.6020031339121865,2.6021536597927155,2.602292804513835,2.6024214723360357,2.602540504905957,2.602650556756757,2.6027524025528157,2.6028465803364065,2.6029337744914756,2.603014504130526,2.603089193717219,2.603158356539513,2.603158355811445,2.6032181083544805,2.6032737123658944,2.6033254903798224,2.603373709597231,2.603418616105113,2.603460378815252,2.6034993049723543,2.6035355591197953,2.603569343660486,2.6036008063922362,2.603630132244325,2.6036574173217324,2.6036828975184987,2.6037065881240533,2.6037286813483544,2.6037492354368457,2.603768443327553,2.6037863290467222,2.603803024374666
