,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198
hot_side---enthalpy (kJ / kg),439.1561849434416,427.89141370530984,417.2709000224283,407.2583078579984,397.8192721379884,388.92130461217,380.5337019685331,372.62745660376476,365.1751703382713,358.15097127219695,351.53043390510237,345.2905025831837,339.4094182914231,333.8666487716548,328.64282191934734,323.7196623903058,319.0799313325265,314.7073691465605,310.58664116966435,306.70328617357967,306.70326233500765,303.2430327053117,299.9713511433551,296.8779644057771,293.9531742197418,291.18780757823873,288.57318858030607,286.1011117422777,283.76381670868096,281.553964294007,279.4646137893432,277.4892014704253,275.6215202464545,273.8557003916107,272.18619130379057,270.60774423764997,269.11539596151977,267.7044532900793,266.3704784470918,265.10927521464475
hot_side---temperature (C),104.73543248542501,102.06586876323678,99.54711654371829,97.1709560946104,94.92956699687102,92.81551723988105,90.82175091591239,88.9415749408422,87.16864514436367,85.49695200368069,83.92080623823728,82.43482443646889,81.03391484750767,79.71326344004967,78.46832030542822,77.2947864612986,76.18860109651837,75.14592928410406,74.16315017888257,73.2368457081372,73.236840021467,72.41135419951627,71.63075553524055,70.89261463828512,70.19463211863712,69.53463183097477,68.91055444135264,68.32045130504446,67.76247864447276,67.23489201558255,66.7360410509487,66.26436446821634,65.81838533219332,65.39670655934293,64.99800665379865,64.62103566393432,64.26461134909209,63.927615546639004,63.60899072924349,63.30773674325775
hot_side---vapor mass fraction (-),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_side---differ number (),3.2396111507055,4.481161426783988,4.482903298920736,4.484471211395645,4.485884266664959,4.487159972834786,4.488313485154977,4.489358879119603,4.490306815457904,4.491168448671732,4.491952767802314,4.492667206209685,4.493319405471249,4.493915284909321,4.494461129713881,4.49496064912861,4.495419390659097,4.495840620343484,4.496227979011178,4.496584625617102,4.496584982561162,4.496895044992812,4.497183619392093,4.497450426152822,4.497698585560988,4.497928740115895,4.498142945220419,4.498342456127834,4.4985276981964795,4.498700521586393,4.498861619363961,4.499011705417297,4.4991517643171015,4.499282923411694,4.499405129159465,4.499519404800052,4.499626419603565,4.499726720884231,4.499820793491061,4.4999077123440365
cold_side---pressure (bar),4.096586971146331,4.097925718158946,4.099264465171561,4.100603212184176,4.1019419591967905,4.103280706209405,4.10461945322202,4.105958200234635,4.10729694724725,4.108635694259865,4.10997444127248,4.111313188285095,4.112651935297711,4.113990682310325,4.115329429322941,4.116668176335555,4.118006923348171,4.119345670360786,4.1206844173734,4.1220231643860155,4.1220231643860155,4.12336191139863,4.124700658411245,4.12603940542386,4.127378152436475,4.12871689944909,4.130055646461705,4.13139439347432,4.132733140486935,4.134071887499551,4.135410634512165,4.13674938152478,4.138088128537396,4.13942687555001,4.1407656225626255,4.1421043695752395,4.143443116587855,4.14478186360047,4.146120610613085,4.1474593576257
cold_side---enthalpy (kJ / kg),267.5539370327734,266.17131402699744,264.86776633475455,263.63883411932414,262.4802994573285,261.3881747842415,260.35869161647474,259.3882895994648,258.47360591717035,257.6114650870903,256.79886915586013,256.0329883032652,255.31115185680716,254.63083971448825,253.98967417002146,253.3854121320214,252.81593772677257,252.27925527271276,251.77348261377804,251.29684479808884,251.29684187217927,250.8721378999325,250.47057606618463,250.0908979015132,249.73191305283808,249.39249563750656,249.07158078699956,248.76816137118985,248.48128489439128,248.21005055475771,247.9536064589292,247.711146984139,247.48191028033654,247.26517590519904,247.06026258522337,246.8665260964025,246.68335725829746,246.51018003559798,246.34644974156433,246.19165133800354
cold_side---temperature (C),63.83411210856116,63.50378671757875,63.19234011168959,62.898708938278446,62.62188734826162,62.360924273098476,62.11492076317535,61.88302739988018,61.66444179047261,61.458406151821464,61.264204987118376,61.081162857759864,60.90864225113677,60.74604154421229,60.59279306150944,60.44836122592994,60.31224079986521,60.18395521414601,60.063054981716675,59.94911619302485,59.949115493753595,59.84758724234672,59.75158880314655,59.66081957307068,59.57499520766362,59.49384675220307,59.41711981785335,59.34457380065646,59.27598114146201,59.211126624572614,59.14980671344716,59.09182892138119,59.037011215611415,58.98518145297311,58.93617684567357,58.88984345546794,58.84603571488452,58.8046159740756,58.76545407196835,58.728426930375406
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),2.3068632214418567,2.3068751755941035,2.3068863196109377,2.3068967542572856,2.306906538312689,2.3069155819649296,2.306924154285571,2.3069321424617053,2.3069395892088997,2.3069465620688625,2.306953161076341,2.306959316864175,2.3069650130032997,2.306970434594506,2.3069755487796653,2.3069801974746706,2.3069846917364725,2.3069888957514717,2.3069927905349727,2.3069964618831995,2.3069964202629034,2.306999822904657,2.307002857170281,2.30700580454441,2.3070085146098323,2.3070110874012957,2.3070135543165673,2.30701589637095,2.3070180792459554,2.3070201336091687,2.3070220773500156,2.3070238166402857,2.307025613979916,2.307027257981613,2.3070288311557885,2.3070302488014893,2.3070316094931007,2.3070328581019846,2.3070341877609186,2.307035334509604
