,m,m_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,Td_dew,Td_dew_unit,v,v_unit,vol,vol_unit,x,x_unit,s,s_unit,phase,Ar,O2,CH4,CO2,DowthermA,N2,Solar Salt,water,H2O
c1,400.0,kg / s,1.0,bar,293.56151845905185,kJ / kg,20.0,C,0.0,K,0.0,K,336.5494501213644,m^3 / s,0.8413736253034109,m^3 / kg,0.0,-,6845.981857401433,J / kgK,,0.0129,0.2314,0.0,0.0004,,0.7553,,,0.0
c10,2191.8348454291663,kg / s,20.0,bar,1769.0664717479954,kJ / kg,394.2756010459145,C,-105.72439895408547,K,105.72439895408547,K,3.006840315861953,m^3 / s,0.001371837080760164,m^3 / kg,0.0,-,630.73458415483,J / kgK,l,,,,,1.0,,,,
c11,1229.8119718870903,kg / s,20.0,bar,1769.0664717479954,kJ / kg,394.2756010459145,C,-105.72439895408547,K,105.72439895408547,K,1.6871016653974868,m^3 / s,0.001371837080760164,m^3 / kg,0.0,-,630.73458415483,J / kgK,l,,,,,1.0,,,,
c12,962.022873542076,kg / s,20.0,bar,1769.0664717479954,kJ / kg,394.2756010459145,C,-105.72439895408547,K,105.72439895408547,K,1.319738650464466,m^3 / s,0.001371837080760164,m^3 / kg,0.0,-,630.73458415483,J / kgK,l,,,,,1.0,,,,
c13,14.041683030732536,kg / s,20.0,bar,1728.815,kJ / kg,375.0,C,-125.0,K,125.0,K,0.018814640230530148,m^3 / s,0.0013399134697280382,m^3 / kg,0.0,-,602.2369999999999,J / kgK,l,,,,,1.0,,,,
c14,953.0,kg / s,1.0,bar,722.3648,kJ / kg,389.0,C,-1637.85,K,1637.85,K,0.5292665520755524,m^3 / s,0.0005553688899008944,m^3 / kg,0.0,-,180.23499999999996,J / kgK,l,,,,,,,1.0,,
c15,10.0,kg / s,1.0,bar,709.0047999999999,kJ / kg,384.0,C,-1642.85,K,1642.85,K,0.005545143009238208,m^3 / s,0.0005545143009238208,m^3 / kg,0.0,-,165.73499999999993,J / kgK,l,,,,,,,1.0,,
c16,953.0,kg / s,1.0,bar,464.69599999999997,kJ / kg,292.0,C,-1734.85,K,1734.85,K,0.5139017708850111,m^3 / s,0.0005392463493022153,m^3 / kg,0.0,-,-101.06500000000007,J / kgK,l,,,,,,,1.0,,
c17,10.0,kg / s,1.0,bar,477.89599999999996,kJ / kg,297.0,C,-1729.85,K,1729.85,K,0.005400544914981923,m^3 / s,0.0005400544914981923,m^3 / kg,0.0,-,-86.56500000000005,J / kgK,l,,,,,,,1.0,,
c18,1229.8119718870903,kg / s,14.0,bar,1569.395,kJ / kg,299.0,C,-201.0,K,201.0,K,1.5093553801890753,m^3 / s,0.0012273058115323421,m^3 / kg,0.0,-,486.30999999999995,J / kgK,l,,,,,1.0,,,,
c19,14.041683030732536,kg / s,20.0,bar,1564.2273223735622,kJ / kg,296.62491541598206,C,-203.37508458401794,K,203.37508458401794,K,0.01718829628328212,m^3 / s,0.0012240908903628364,m^3 / kg,0.0,-,482.6148646655712,J / kgK,l,,,,,1.0,,,,
c2,11.5,kg / s,1.0,bar,898.8353788707262,kJ / kg,20.000000000000057,C,181.64237401545336,K,-181.64237401545336,K,17.439928288603333,m^3 / s,1.5165155033568116,m^3 / kg,-1.0,-,6643.671155930809,J / kgK,state not recognised,0.0,0.0,1.0,0.0,,0.0,,,0.0
c20,14.041683030732536,kg / s,14.0,bar,1564.4318678281077,kJ / kg,296.63660372767026,C,-203.36339627232974,K,203.36339627232974,K,0.017188517862319338,m^3 / s,0.0012241066704539217,m^3 / kg,0.0,-,482.5285659642724,J / kgK,l,,,,,1.0,,,,
c21,976.0645565728086,kg / s,20.0,bar,1768.487413319944,kJ / kg,393.9981355491399,C,-106.00186445086013,K,106.00186445086013,K,1.3385424929532221,m^3 / s,0.0013713667645643835,m^3 / kg,0.0,-,630.3244177682936,J / kgK,l,,,,,1.0,,,,
c22,107.36710122300894,kg / s,20.0,bar,1768.487413319944,kJ / kg,393.9981355491399,C,-106.00186445086013,K,106.00186445086013,K,0.14723967422485446,m^3 / s,0.0013713667645643835,m^3 / kg,0.0,-,630.3244177682936,J / kgK,l,,,,,1.0,,,,
c23,868.6974553497996,kg / s,20.0,bar,1768.487413319944,kJ / kg,393.9981355491399,C,-106.00186445086013,K,106.00186445086013,K,1.1913028187283676,m^3 / s,0.0013713667645643835,m^3 / kg,0.0,-,630.3244177682936,J / kgK,l,,,,,1.0,,,,
c24,434.3487276748998,kg / s,20.0,bar,1768.487413319944,kJ / kg,393.9981355491399,C,-106.00186445086013,K,106.00186445086013,K,0.5956514093641838,m^3 / s,0.0013713667645643835,m^3 / kg,0.0,-,630.3244177682936,J / kgK,l,,,,,1.0,,,,
c25,42.392254717738524,kg / s,100.0,bar,3005.8871048124224,kJ / kg,371.99813554914,C,61.000988582624814,K,-61.000988582624814,K,1.0309477229258852,m^3 / s,0.02431924722547248,m^3 / kg,1.0,-,6075.096668462184,J / kgK,g,,,,,,,,1.0,
