,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4
hot_side---enthalpy (kJ / kg),1741.031527788471,1732.4984932858085,1724.4677021514158,1716.9067419116411,1709.7881263929348,1703.0859770359937,1696.7759292587352,1690.8350438838622,1685.2417237481943,1679.9756351906149,1675.0176341332221,1670.3496964869628,1665.9548526287588,1661.8171257119268,1657.9214735856306,1654.2537341122325,1650.8005736837486,1647.5494387502545,1644.4885101840332,1641.606660313562,1641.606655211632,1639.0433725129094,1636.6217661476926,1634.334005707814,1632.1726935693994,1630.130840973013,1628.2018454258418,1626.3794693528575,1624.6578199279188,1623.031330019606,1621.494740190172,1620.0430816894054,1618.6716603884183,1617.3760416014086,1616.1520357463196,1614.9956847980297,1613.90324949027,1612.871197224889,1611.8961906493691,1610.9749207008563
hot_side---temperature (C),380.81919039864226,376.7311839134701,372.90700102448363,369.30654376744803,365.9167268537785,362.72522715999696,359.7204425041597,356.8914494685058,354.2279636896162,351.7203024717214,349.3593495872485,347.136522136649,345.043739347028,343.0733931961556,341.2183207550621,339.4717781486821,337.8274160398803,336.27925654774015,334.8216715162064,333.44936205407726,333.4493596245866,332.2287488156712,331.0756029274728,329.9861931941971,328.9569969378091,327.98468617762524,327.0661168694485,326.198318739456,325.3784856799614,324.603966676003,323.8722572334152,323.18099128066933,322.5279335182944,321.9109721911469,321.32811226015224,320.77746895144264,320.2572616620332,319.76580820232823,319.3015193568424,318.86281938136005
hot_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_side---differ number (),4.23701428637975,4.223099665958994,4.223119792107548,4.223119786800019,4.223119789453783,4.223119792107548,4.2231197947613115,4.223119786800019,4.223119786800019,4.223119789453783,4.223119786800019,4.223119789453783,4.223119792107548,4.223119786800019,4.223119789453783,4.223119789453783,4.223119792107548,4.223119786800019,4.223119789453783,4.223119786800019,4.223119792107548,4.223119789453783,4.223119792107548,4.223119784146254,4.223119781492491,4.223119786800019,4.223119792107548,4.223119786800019,4.2231197947613115,4.223119786800019,4.223119786800019,4.223119786800019,4.223119786800019,4.223119789453783,4.223119792107548,4.223119786800019,4.223119786800019,4.223119786800019,4.223119786800019,4.223119789453783
cold_side---pressure (bar),100.5,100.50005263157895,100.50010526315789,100.50015789473684,100.5002105263158,100.50026315789474,100.50031578947369,100.50036842105264,100.50042105263158,100.50047368421053,100.50052631578947,100.50057894736841,100.50063157894736,100.50068421052632,100.50073684210525,100.50078947368421,100.50084210526316,100.5008947368421,100.50094736842105,100.501,100.501,100.50105263157894,100.5011052631579,100.50115789473685,100.50121052631579,100.50126315789474,100.5013157894737,100.50136842105263,100.50142105263158,100.50147368421054,100.50152631578946,100.50157894736842,100.50163157894737,100.5016842105263,100.50173684210526,100.50178947368421,100.50184210526315,100.5018947368421,100.50194736842106,100.502
cold_side---enthalpy (kJ / kg),1543.477481475073,1534.7345809048738,1526.506276148093,1518.7593575611643,1511.4656629607139,1504.598677316149,1498.133436809672,1492.046438085448,1486.3155528079794,1480.919947219087,1475.8400064010573,1471.0572629706398,1466.5543299446645,1462.314837533235,1458.32337363072,1454.5654277882052,1451.0273384637378,1447.6962433585943,1444.5600326590356,1441.6073050135644,1441.607299785891,1438.980974325558,1436.4998096631339,1434.1557828051557,1431.9413141865853,1429.849243162656,1427.8728048552741,1426.0056082791154,1424.2416156766851,1422.5751229955208,1421.0007414444174,1419.5133800690323,1418.108229290532,1416.780745354053,1415.5266356366897,1414.3418447675092,1413.2225415147054,1412.1651063974962,1411.1661199827097,1410.2221918226105
cold_side---temperature (C),311.3639592693546,311.3639978067903,311.36403634421015,311.36407488161444,311.3641134190033,311.3641519563764,311.36419049373376,311.36422903107587,311.36426756840206,311.3643061057128,311.36434464300794,311.3643831802873,311.3644217175513,311.3644602547994,311.3644987920321,311.36453732924906,311.3645758664503,311.3646144036362,311.3646529408063,311.36469147796095,311.36469147796095,311.3647300150999,311.3647685522229,311.36480708933084,311.36484562642283,311.36488416349926,311.3649227005602,311.3649612376056,311.36499977463507,311.3650383116491,311.3650768486474,311.36511538563025,311.3651539225974,311.3651924595489,311.365230996485,311.36526953340535,311.3653080703101,311.36534660719906,311.36538514407266,311.3640782024203
cold_side---vapor mass fraction (-),0.10138492090710562,0.09473290909220435,0.0884724142128429,0.0825781696409264,0.07702874898721544,0.07180397904645228,0.06688486680473571,0.062253530394889164,0.05789313409114433,0.05378782710680408,0.049922685972442996,0.04628366028513764,0.04285752163151914,0.03963181549900804,0.036594816000334665,0.033735483246860785,0.03104342321563475,0.028508849964365302,0.02612255005695419,0.02387584907018065,0.02387584509279046,0.02187748085163234,0.019989558911573356,0.0182059751856737,0.016520962956626216,0.014929074230487055,0.013425162121036734,0.012004364207708073,0.010662086813306776,0.009393990150738524,0.008195974290601957,0.00706416590441755,0.005994905740494629,0.004984736792021744,0.004030393119112301,0.0031287892886295776,0.0022770103976832872,0.0014723026484884387,0.0007120644442119088,
cold_side---differ number (),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.779265566333382
