,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
hot_side---enthalpy (kJ / kg),2827.9756887524236,2800.6380264809986,2787.7681717311575,2774.1552922527217,2759.755985369996,2744.524255521259,2728.4113529383458,2711.365601601614,2693.332215688809,2674.2531036735463,2654.0666591606564,2632.7075374714695,2610.1064169113524,2586.189743564126,2560.8794583626864,2534.0927050816267,2505.7415177852904,2475.732486142566,2443.96639688743,2410.3378495606567,2410.3376907488305,2372.51027513443,2332.3153175548705,2289.5999858524756,2244.2010482803057,2195.9441086153515,2144.642779642645,2090.0977896785785,2032.0960163425364,1970.4094412952402,1904.7940191404614,1834.9884531355362,1760.7128697783742,1681.6673837388269,1597.5305439876877,1507.9576513569946,1412.5789371548572,1310.9975918757184,1202.7876325183547,1087.4915965825319
hot_side---temperature (C),257.4577415515166,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337,250.35404528878337
hot_side---vapor mass fraction (-),,0.9998934209444511,0.9923818137237889,0.9844365333945385,0.9760322475921561,0.9671421105906984,0.9577376691467009,0.9477887620835356,0.9372634131601312,0.9261277167312777,0.9143457156667832,0.9018792709534522,0.8886879223567226,0.8747287394676178,0.8599561624050448,0.8443218313830428,0.8277744042870115,0.810259361331663,0.791718795796219,0.7720911897485836,0.7720910970566236,0.7500127835254141,0.7265526326956194,0.7016214426949982,0.6751239418369012,0.6469583421871614,0.6170158571606152,0.5851801800353482,0.551326920004764,0.5153229921011561,0.4770259570199551,0.4362833065520875,0.39293168999468725,0.346796076560298,0.29768884844599847,0.24540881886224494,0.18974016896492676,0.13045129729426785,0.06729357501567264,0.0
hot_side---differ number (),25.486025532457777,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.804807290919115
cold_side---pressure (bar),101.0,101.0013157894737,101.00263157894736,101.00394736842105,101.00526315789475,101.00657894736841,101.0078947368421,101.0092105263158,101.01052631578946,101.01184210526316,101.01315789473685,101.01447368421053,101.01578947368421,101.0171052631579,101.01842105263158,101.01973684210526,101.02105263157895,101.02236842105263,101.02368421052631,101.025,101.025,101.02631578947368,101.02763157894736,101.02894736842106,101.03026315789474,101.03157894736842,101.03289473684211,101.03421052631579,101.03552631578947,101.03684210526316,101.03815789473684,101.03947368421053,101.0407894736842,101.0421052631579,101.04342105263159,101.04473684210525,101.04605263157895,101.04736842105264,101.0486842105263,101.05
cold_side---enthalpy (kJ / kg),1063.6436153272832,1060.331264097257,1058.771895970325,1057.1224997038519,1055.3778164390221,1053.5322731515616,1051.5799631054467,1049.5146250071718,1047.3296207658893,1045.0179117571192,1042.5720334794432,1039.984068484594,1037.2456174515837,1034.347768264873,1031.28106294505,1028.0354622679333,1024.6003078944052,1020.9642818184823,1017.1153629251008,1013.0407804316934,1013.0407611893545,1008.4574253724497,1003.5872277726107,998.4116505743624,992.9109159023183,987.0638931441365,980.8479988062238,974.239088256177,967.2113386503097,959.7371222851602,951.7868695486544,943.3289205798147,934.3293646759008,924.7518664131914,914.5574773731487,903.7044322906361,892.1479283668901,879.8398864193981,866.72869247678,852.7589183732954
cold_side---temperature (C),245.35404528878325,244.65594238258143,244.32696964375236,243.97878045552886,243.61022682271698,243.22008932582435,242.80707237275828,242.36979910452214,241.90680592710657,241.41653663926252,240.8973361233143,240.3474435632578,239.76498515131766,239.14796624077383,238.49426289921098,237.80161281245523,237.0676054851154,236.2896716791592,235.465072026952,234.59088474989113,234.59088061854533,233.6060313417584,232.5578067879892,231.44191609666478,230.25375487007,228.98838005835916,227.64048267340047,226.20435814201568,224.67387409531676,223.04243537687012,221.30294603869834,219.447768081059,217.46867668021252,215.35681163860164,213.10262478533633,210.6958230526567,208.12530695809505,205.3791042345254,202.4442983740559,199.30695189034475
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),4.190243505080619,4.193176142906255,4.194549489063702,4.195996738157801,4.197521637945855,4.1991280484996665,4.200820019052285,4.202601722973833,4.204477516884397,4.20645198203305,4.208529817894646,4.2107156825650165,4.213014712954411,4.21543212281984,4.217973054982842,4.220643021720528,4.2234478013180174,4.226392761225837,4.229484158543524,4.232727614907041,4.232727688798155,4.236340585953814,4.240139026652553,4.244130287691288,4.248321897096721,4.252720839056952,4.257334458348721,4.26217001699072,4.267233816417157,4.272532630965368,4.27807237783577,4.283858465857913,4.289895467413935,4.296187750946501,4.302737852398645,4.309547571757906,4.316617107052471,4.323945036617303,4.331527911215199,4.339360002806995
