,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
hot_side---enthalpy (kJ / kg),1717.2953035374283,1711.0419790869105,1704.4362640317972,1697.4581883965307,1690.0866378641915,1682.2992868096073,1674.0725272650216,1665.381393556333,1656.1994823297139,1646.4988676688465,1636.2500109819853,1625.4216653154397,1613.9807737257981,1601.8923613171291,1589.119420521331,1575.6227891697347,1561.3610208717137,1546.2902471813886,1530.364030996329,1513.5332105922878,1513.533126535339,1494.672821556183,1474.6740014081222,1453.466840200309,1430.9771060584378,1407.1258701172862,1381.8291951001383,1354.9978019779217,1326.5367130921252,1296.3448700113815,1264.31472427211,1230.3317990298367,1194.274219520246,1156.0122100993774,1115.4075555020156,1072.313023829001,1026.5717486503338,978.0165674958057,926.4693139027752,871.740060107472
hot_side---temperature (C),204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447,204.3069518903447
hot_side---vapor mass fraction (-),0.4397704418439902,0.4365181088025171,0.4330824985912924,0.4294532248931083,0.42561930622265937,0.4215691310972864,0.41729042109225944,0.4127701916443394,0.40799471045789104,0.4029494533576419,0.3976190574212467,0.39198727121305116,0.386036901927827,0.3797497592396826,0.37310659563675885,0.36608704300667844,0.3586695452208974,0.35083128644807005,0.34254811490720694,0.3337944617506641,0.33379441803292736,0.3239852367660112,0.31358391758407916,0.3025541442758502,0.29085730909284685,0.27845236139739277,0.26529564569381797,0.2513407282589946,0.2365382115317659,0.2208355353614384,0.2041767641533646,0.18650235888526714,0.16774893290160933,0.14784899032589016,0.12673064586294364,0.10431732469657636,0.08052744112346788,0.0552740545043704,0.02846450106053435,0.0
hot_side---differ number (),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.2586414208227215
cold_side---pressure (bar),101.05,101.05131578947369,101.05263157894736,101.05394736842105,101.05526315789474,101.05657894736841,101.0578947368421,101.0592105263158,101.06052631578946,101.06184210526315,101.06315789473685,101.06447368421054,101.0657894736842,101.0671052631579,101.06842105263159,101.06973684210526,101.07105263157895,101.07236842105264,101.07368421052631,101.075,101.075,101.0763157894737,101.07763157894736,101.07894736842105,101.08026315789475,101.08157894736841,101.0828947368421,101.0842105263158,101.08552631578947,101.08684210526316,101.08815789473684,101.08947368421053,101.09078947368421,101.09210526315789,101.09342105263158,101.09473684210526,101.09605263157894,101.09736842105264,101.09868421052632,101.1
cold_side---enthalpy (kJ / kg),852.7589183732954,851.5066301402157,850.183772306746,848.7863456936332,847.3101219562842,845.7506301740037,844.1031426246881,842.3626596925078,840.5238938524715,838.5812526718372,836.5288207641322,834.3603406270092,832.0691922903097,829.6483716954763,827.0904677218426,824.3876377693016,821.5315818003778,818.5135147377874,815.3241371061215,811.9536037983047,811.953586965094,808.1766298945661,804.1716742353699,799.9247366827587,795.420951591515,790.6445126989136,785.5786107597637,780.2053667917011,774.505760607128,768.459554285326,762.0452102143429,755.2398033074621,748.0189269735224,740.3565923943908,732.2251206367843,723.5950270999422,714.4348977758425,704.711256775602,694.3884245552501,683.4283662573943
cold_side---temperature (C),199.30695189034475,199.02518927960568,198.72745918171938,198.4128466102896,198.0803830338869,197.7290431238289,197.3577412924771,196.96532800750066,196.55058586645816,196.11222541488377,195.64888068979394,195.15910446920697,194.64136320681826,194.0940316293943,193.51538697284013,192.90360283107776,192.25674259001238,191.5727524168625,190.8494537729655,190.0845354159684,190.0845315944904,189.22672925964952,188.31640133894598,187.35024240275612,186.3247295381937,185.23610715017105,184.08037063958875,182.85324887642656,181.55018538078087,180.16631812053998,178.69645783016625,177.13506475160938,175.4762236953569,173.71361731796395,171.84049751182698,169.84965480459584,167.7333856691974,165.4834576524064,163.09107224031203,160.54682539413318
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),4.140981898457605,4.1416135902603735,4.142278902575615,4.14297965316698,4.143716956496704,4.144493209199596,4.145310402159653,4.146170234120285,4.147074871790839,4.148026241135179,4.149026784773211,4.15007866941428,4.151184148327911,4.152346013079704,4.1535663870989215,4.154847878010797,4.156193117785612,4.157604887168949,4.159085807311067,4.160638772567776,4.160638899703031,4.162364271185748,4.164177030573848,4.1660804238738445,4.168077780947421,4.170172469526335,4.17236777348718,4.1746669767065425,4.1770730682154245,4.179588912614573,4.182217182449353,4.1849603365697,4.18782028741445,4.1907986174117795,4.193896400448845,4.197114334417046,4.200451902660346,4.203908166541861,4.207481059437443,4.211167416490742
