,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),20.0,19.842105263157894,19.684210526315788,19.52631578947368,19.36842105263158,19.210526315789473,19.05263157894737,18.894736842105264,18.736842105263158,18.57894736842105,18.42105263157895,18.263157894736842,18.105263157894736,17.94736842105263,17.789473684210527,17.63157894736842,17.473684210526315,17.315789473684212,17.157894736842106,17.0,17.0,16.842105263157894,16.684210526315788,16.526315789473685,16.36842105263158,16.210526315789473,16.05263157894737,15.894736842105264,15.736842105263158,15.578947368421051,15.421052631578949,15.263157894736842,15.105263157894736,14.947368421052632,14.789473684210526,14.631578947368423,14.473684210526315,14.31578947368421,14.157894736842106,14.0
hot_side---enthalpy (kJ / kg),1769.0664717479954,1764.4120056641907,1759.7439731295146,1755.0623287648707,1750.3670270393723,1745.6580222698337,1740.9352686202621,1736.194915006851,1731.4346420527438,1726.6509359754714,1721.8345362745179,1716.9852063034857,1712.1027073080813,1707.1867988029721,1702.2372385592334,1697.2537825917104,1692.236185146281,1687.1841172259924,1682.0909067305822,1676.956202640093,1676.9562021614774,1671.7370816560829,1666.4750260277979,1661.169665558338,1655.8206273457404,1650.4275352769491,1644.9900100001641,1639.505919497658,1633.9693802520305,1628.3798715161035,1622.7368672886435,1617.039836345083,1611.2882421856523,1605.481542982995,1599.6191915292648,1593.7006351826935,1587.7229170721423,1581.6798967903014,1575.5708389808235,1569.395
hot_side---temperature (C),394.2756010459145,392.0430663105826,389.8040309842082,387.558473322641,385.3063715089976,383.047703653418,380.78244779282295,378.5087586162215,376.2294030392933,373.94919256977323,371.65341326355497,369.3419528763467,367.0146977156279,364.6715332645732,362.31234417607607,359.9370142667293,357.5454265107604,355.1374242429538,352.7098302727085,350.2624774476634,350.2624772197511,347.77492610189404,345.2669296874226,342.7383119200107,340.1888952272949,337.6185005078204,335.02694711787274,332.4132198109148,329.7745169119945,327.11059044626484,324.42118993694805,321.70606241996427,318.9649524192329,316.19760192172714,313.4037503522816,310.5831345481499,307.73434647545605,304.8544621307201,301.9431313442519,299.0
hot_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_side---differ number (),18.064533585521385,18.064533623636017,18.064533585521385,18.0645336045787,18.064533623636017,18.0645336045787,18.0645336045787,18.0645336045787,17.96470717687803,17.964753867299812,17.96475390541444,17.964753867299812,17.964753886357126,17.964753867299812,17.964753867299812,17.964753886357126,17.964753848242495,17.964753886357126,17.964753867299812,17.964753886357126,17.964753867299812,17.964753886357126,17.96475390541444,17.96475390541444,17.964753886357126,17.96475390541444,17.964753848242495,17.964753886357126,17.964753886357126,17.964753867299812,17.964753886357126,17.964753867299812,17.964753867299812,17.964753867299812,17.964753848242495,17.964753867299812,17.964753886357126,17.964753886357126,17.96475390541444,17.964753924471758
cold_side---pressure (bar),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cold_side---enthalpy (kJ / kg),722.3648,716.3583801546638,710.3344532960037,704.29296086394,698.2338441025129,692.1570440592267,686.0625015843926,679.9452469938877,673.8022872159114,667.6290878414952,661.4136985302403,655.1558138985441,648.8551258426419,642.511324024924,636.1240958577404,629.6931264870875,623.2180987761757,616.6985881663566,610.1259845539785,603.4998349605039,603.4998343428662,596.7647484244447,589.9742562855143,583.127880818024,576.2251408055015,569.2655508876749,562.2486215247906,555.1716014252162,548.0268981229123,540.8138396125133,533.5317471084842,526.1799350847675,518.7577112078486,511.264376269155,503.6992241167865,496.0615415865647,488.3475129434145,480.54921421417606,472.66569644812546,464.69599999999997
cold_side---temperature (C),389.0,386.7520883812365,384.49762473652834,382.23658714967826,379.96895363118006,377.6947021179741,375.40949759173895,373.1132308535615,370.80731502098774,368.49004798854924,366.1569438927328,363.80788810005413,361.4427649559467,359.0614579673138,356.6638497964491,354.2498222549127,351.8191639654075,349.36452867709215,346.88990382303405,344.39511858452704,344.3951183519828,341.85931793089037,339.3026567340039,336.724955127268,334.12603192978224,331.50570440048,328.8637882246952,326.19728159802696,323.4991307110696,320.7751660168102,318.02513108326445,315.24876702596964,312.445812389671,309.6160031227927,306.7590725516566,303.8747513544429,300.9589064253206,298.0050053841576,295.0188244121688,292.0
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),18.191641661624562,18.191641661624562,18.191641661624562,18.191641686217338,18.191641661624562,18.191641661624562,18.24026521665696,18.240265192064186,18.24026521665696,18.24026521665696,18.240265192064186,18.24026521665696,18.24026521665696,18.24026521665696,18.24026521665696,18.24026521665696,18.289043779947402,18.289181647041573,18.28918167163435,18.28918167163435,18.28918167163435,18.28918167163435,18.28918167163435,18.28918167163435,18.28918167163435,18.28918167163435,18.28918167163435,18.33840022425441,18.338393682576378,18.338393707169153,18.338393707169153,18.338393707169153,18.338393707169153,18.338393682576378,18.338393682576378,18.338393682576378,18.38790572536802,18.387903979281027,18.387903979281027,18.3879040038738
