,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hot_side---enthalpy (kJ / kg),709.0047999999999,689.3641504399824,671.2303366413208,654.5310181239396,639.1527165231971,624.990931425365,611.9494290303608,599.967594706482,588.9631598960536,578.8563947527864,569.574073268692,561.0489427335797,553.2192364725705,546.0373631538331,539.4591676769084,533.4339074401769,527.9151050501163,522.8601898059806,518.2301693197585,513.9893287383641,513.9893107154148,510.4061260605577,507.10077519481257,504.05171537846434,501.2390742576631,498.64452034566517,496.25114354672723,494.04334494396795,492.0067351328802,490.1293548229621,488.40152389785345,486.8113293045157,485.347807128383,484.0008668425809,482.7612217158419,481.6203247834048,480.5703099183693,479.603937597217,478.7145449855623,477.89599999999996
hot_side---temperature (C),384.0,376.64885578675955,369.8418681086039,363.573355151629,357.8007194156146,352.4847340185305,347.57644165299735,343.06520885033206,338.9219728524298,335.11671489186233,331.62186493550155,328.4121019328237,325.459983562149,322.74779575295815,320.26358295955754,317.9881825680427,315.9040426926422,313.9950867847359,312.24658962226533,310.64506372294716,310.6450569166974,309.2918905062529,308.04364622160597,306.8921885870334,305.83001293718394,304.8501965051606,303.94635330314475,303.1125925014985,302.3434800350756,301.63384663409727,300.9793651224744,300.37701867595297,299.82265421529667,299.31244956158366,298.8428870135765,298.4107290846231,298.0129961812005,297.64694605955185,297.31005491877363,297.0
hot_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_side---differ number (),33.03562764176509,33.12881637681484,33.128827690091796,33.12882773723045,33.12882773723045,33.128827690091796,33.22258925406488,33.22258925406488,33.222589301203534,33.22258925406488,33.22258925406488,33.22258925406488,33.31691733038165,33.31691733038165,33.31691733038165,33.31691733038165,33.31691733038165,33.31691733038165,33.316917283242994,33.31691733038165,33.31691733038165,33.31691733038165,33.31691733038165,33.31691733038165,33.31691733038165,33.31691733038165,33.316917283242994,33.31691733038165,33.31691733038165,33.41181828276039,33.41182078110906,33.411817057155396,33.411817057155396,33.411817057155396,33.411817104294045,33.411817057155396,33.411817057155396,33.411817057155396,33.411817104294045,33.411817104294045
cold_side---pressure (bar),20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
cold_side---enthalpy (kJ / kg),1728.815,1714.8276100859628,1701.9133363774818,1690.020660491812,1679.068767070571,1668.9832345408618,1659.695528525521,1651.162481384623,1643.3255043026427,1636.1278164463176,1629.5172687906138,1623.445966286168,1617.869920847831,1612.7552395784855,1608.0704767459054,1603.7794952278466,1599.8491954354486,1596.249259991049,1592.9519198672986,1589.931740183629,1589.931727348677,1587.3799074229496,1585.025951092707,1582.8545163653494,1580.8514508391975,1579.0036994647226,1577.2992194578035,1575.7269018104623,1574.2764988875147,1572.9394936967487,1571.7089923947844,1570.5765109181286,1569.534241146813,1568.5749969573137,1567.69216466148,1566.8796574072287,1566.1318732116038,1565.4436563368622,1564.8102617432737,1564.2273223735622
cold_side---temperature (C),375.0,368.33933813617284,362.189683989277,356.5265049961009,351.311317652653,346.50868311469605,342.0859659645338,338.02261018315403,334.2907163345917,330.86324592681785,327.7153660907687,324.82426966007995,322.1690099275387,319.7334474183265,317.50260797424073,315.45928344183164,313.5877121121183,311.873457138595,310.30329517490406,308.86511437315676,308.8651082612747,307.64995591569016,306.52902432986036,305.49500779302355,304.5411670662845,303.6612854593917,302.8496283132396,302.1009056240297,301.41023756548316,300.7735684270232,300.18761542608786,299.64833853244215,299.1520195937204,298.69523664633994,298.27484031499057,297.8879320986804,297.5318443864779,297.20412206517256,296.90250559203514,296.62491541598206
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),30.122797982954083,30.122797982954083,30.122797949383564,30.122797982954083,30.122797949383564,30.122797982954083,30.122797949383564,30.122797949383564,30.122798016524595,30.122797982954083,30.122797982954083,30.122797949383564,30.122797949383564,30.122797982954083,30.122797982954083,30.122797949383564,30.122797949383564,30.122797982954083,30.122797982954083,30.122797949383564,30.122797982954083,30.122797982954083,30.122798016524595,30.122798016524595,30.122797982954083,30.12279805009511,30.122797982954083,30.122798016524595,30.122797949383564,30.122798016524595,30.122797982954083,30.122797949383564,30.122797982954083,30.122797949383564,30.122797949383564,30.122798016524595,30.122797982954083,30.12279791581305,30.122798016524595,30.12279791581305
