,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),20.0,19.957894736842107,19.91578947368421,19.873684210526317,19.83157894736842,19.789473684210527,19.74736842105263,19.705263157894738,19.66315789473684,19.621052631578948,19.57894736842105,19.53684210526316,19.49473684210526,19.45263157894737,19.410526315789475,19.36842105263158,19.326315789473686,19.28421052631579,19.242105263157896,19.2,19.2,19.157894736842106,19.11578947368421,19.073684210526316,19.03157894736842,18.989473684210527,18.94736842105263,18.905263157894737,18.863157894736844,18.821052631578947,18.77894736842105,18.736842105263158,18.694736842105264,18.652631578947368,18.610526315789475,18.568421052631578,18.526315789473685,18.48421052631579,18.442105263157895,18.4
hot_side---enthalpy (kJ / kg),1768.487413319944,1768.1296754910527,1767.7578276730853,1767.3714085058662,1766.9699511068188,1766.5529840374604,1766.120032392486,1765.670619019148,1765.2042658744697,1764.7204955275395,1764.2188328136906,1763.6988066467552,1763.1599519947697,1762.6018120234994,1762.0239404108988,1761.4259038341463,1760.807284629175,1760.1676836206493,1759.50672311816,1758.8240500720194,1758.824040110746,1758.0962677710652,1757.3451745286338,1756.5705445274448,1755.772209752628,1754.95005418414,1754.1040179532304,1753.234101469967,1752.3403694900028,1751.4229550892512,1750.4820635159344,1749.5179758898637,1748.531052717894,1747.5217371908016,1746.4905582185925,1745.4381331463264,1744.3651700687858,1743.2724696280973,1742.160926133441,1741.031527788471
hot_side---temperature (C),393.9981355491399,393.82611424297147,393.6473319003708,393.4615674529206,393.2685971860525,393.0681952021604,392.8601339424521,392.6441847712366,392.4201186262536,392.187706738525,391.9467214249812,391.6969369568334,391.4381305062657,391.170083173541,390.8925810960118,390.60541663982656,390.3083896742868,390.00130892787695,389.683993423943,389.3562739928427,389.35626921973255,389.0069397104777,388.64643560198795,388.2746534632603,387.8915127871694,387.49695798077767,387.09096035697553,386.67352011225387,386.2446682753632,385.8044686118452,385.3530194698063,384.89045555248947,384.41694960276277,383.9327139828732,383.43800212886504,382.93310985191306,382.4183764474335,381.89418555644556,381.3609657020984,380.81919039864226
hot_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_side---differ number (),2.2960823665759116,2.2960823669271533,2.29608236622467,2.2960823665759116,2.2960823665759116,2.2960823669271533,2.2960823669271533,2.2960823669271533,2.2960823669271533,2.2960823669271533,2.2960823665759116,2.2960823669271533,2.2960823669271533,2.2960823669271533,2.296082367278395,2.2960823669271533,2.2960823665759116,2.2960823669271533,2.2960823665759116,2.2960823665759116,2.2960823669271533,2.2960823669271533,2.2960823665759116,2.2960823669271533,2.2960823665759116,2.29608236622467,2.296082365873428,2.29608236622467,2.2960823665759116,2.2960823665759116,2.2960823669271533,2.2960823669271533,2.2960823665759116,2.2960823669271533,2.2960823665759116,2.2960823669271533,2.2960823669271533,2.296082367278395,2.2960823669271533,2.2960823665759116
cold_side---pressure (bar),100.0,100.01315789473685,100.02631578947368,100.03947368421053,100.05263157894736,100.0657894736842,100.07894736842105,100.09210526315789,100.10526315789474,100.11842105263159,100.13157894736841,100.14473684210526,100.15789473684211,100.17105263157895,100.1842105263158,100.19736842105264,100.21052631578947,100.22368421052632,100.23684210526315,100.25,100.25,100.26315789473685,100.27631578947368,100.28947368421053,100.30263157894736,100.3157894736842,100.32894736842105,100.34210526315789,100.35526315789474,100.36842105263159,100.38157894736841,100.39473684210526,100.40789473684211,100.42105263157895,100.4342105263158,100.44736842105264,100.46052631578947,100.47368421052632,100.48684210526315,100.5
cold_side---enthalpy (kJ / kg),3005.8871048124224,3002.2217425462554,2998.4118101022696,2994.4525804092887,2990.3392698139255,2986.0670479832156,2981.631049063329,2977.0263841732644,2972.248155310776,2967.291470744807,2962.151461964124,2956.8233022455615,2951.3022268970108,2945.583555219841,2939.6627142227335,2933.5352641037184,2927.1969254995656,2920.643608481577,2913.871443254434,2906.876812490315,2906.8767104272843,2899.419994763491,2891.7243344031867,2883.7875176975026,2875.6078231752563,2867.184062101418,2858.5156210640325,2849.60250426464,2840.4453751861197,2831.0455973170215,2821.405273619419,2811.5272844315564,2801.4153234869905,2791.073931694219,2780.5085282362916,2769.72543839699,2758.7319172767993,2747.5361682112452,2736.1473542433673,2724.575600453858
cold_side---temperature (C),371.99813554914,370.9583844850255,369.8834998640199,368.772921003624,367.62614401213955,366.4427297909199,365.2223125689695,363.96460896366864,362.6694275532691,361.33667893731297,359.96638625037735,358.55869608244996,357.1138897459384,355.6323948149561,354.11479684733786,352.56185118424025,350.9744947066523,349.35385741336984,347.7012736717861,346.018292982223,346.0182684374289,344.25072390128673,342.45604141109175,340.63680627506324,338.79588009883616,336.9364048439037,335.06180499004665,333.1757877334903,331.2823411987247,329.3857306799981,327.4904929455114,325.60142861539885,323.7235925412032,321.86228194372916,320.02302178165166,318.21154640527914,316.4337759956188,314.69578562864285,313.00376412177195,311.3639592693546
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
cold_side---differ number (),3.81897514275993,3.808838442418024,3.798228236660858,3.787123224168611,3.7755013622678737,3.7633398489376297,3.7506153531327024,3.7373038600351878,3.7233808401982365,3.70882123874964,3.693599633739199,3.6776902073482978,3.6610669294288902,3.64370369065925,3.625574388915256,3.6066530120428837,3.5869139077684897,3.5663318124892456,3.5448821067882053,3.5225408730151684,3.5225405671168435,3.4985227154216494,3.4735223003129803,3.4475189633576147,3.4204939044043874,3.3924297340332306,3.3633103799862765,3.3331209288204864,3.3018472984165053,3.269475892493494,3.2359930535909487,3.201384616817026,3.1656356219442388,3.128729888750603,3.0906503337143767,3.051379639391569,3.010901859482444,2.9692051935092705,2.926286100249088,2.4410778320088333
